"logFC"	"P.Value"	"adj.P.Val"
"INTS9"	2.74633537308063	0.000442743629801784	0.0035852329368967
"RN7SL1"	2.99766624507798	0.000442825996829381	0.0035852329368967
"WDR73"	2.77125311094836	0.00044429350519713	0.00359216729672255
"DCAF13"	2.71464963581448	0.000444360381770453	0.00359216729672255
"ZNF138"	3.02671881129637	0.000444775937568988	0.00359278611764949
"ARL13B"	2.70214806377012	0.000445627315595555	0.00359692177508125
"KLF6"	2.69555397265551	0.000448345064168021	0.00361429178407655
"ZNF569"	2.93156035439382	0.000448461379133861	0.00361429178407655
"RPL37"	3.0049229586847	0.000449026489545546	0.00361609630410615
"RBM6"	2.64248083068489	0.000450573392497097	0.00362579864364786
"ZNF83"	2.71111556558278	0.00045133808800938	0.00362919655290092
"GGH"	2.9545820440278	0.000454879976378831	0.00365490370709844
"ARL5B"	3.56184758339498	0.000457755956161141	0.00367446559268062
"SRSF3"	2.63914991714611	0.000458008024903859	0.00367446559268062
"PCMTD2"	2.7038059690244	0.00045878889901963	0.00367794610575646
"ZNF440"	3.27382696947448	0.000459179536062593	0.0036782953312104
"ST8SIA4"	3.03871635546001	0.000459536326752644	0.00367837310492788
"ABL1"	2.68818480081653	0.000461907210127086	0.00369456046258631
"LSM5"	2.69544421738303	0.00046238537078872	0.00369543517508617
"HSF2"	2.98686313414308	0.000462713953325094	0.00369543517508617
"NA..1477"	2.65547717587465	0.000463867743806581	0.00370186020245643
"CDK6"	3.00696333755746	0.000464394523146564	0.00370327551264657
"ELMOD2"	2.96235820514727	0.000466291639515951	0.003715608116985
"RCC2"	2.85907235953712	0.000467020406676773	0.0037156541348296
"CEP85L"	2.64840928924324	0.000467086418720851	0.0037156541348296
"ZNF473"	3.08003638628152	0.000467349213222103	0.0037156541348296
"ND4"	-3.39305770888899	0.000470489375234253	0.00373781589110391
"FBXO46"	2.70050329981357	0.00047121363589257	0.00374076562785727
"TEX10"	3.03915180547391	0.000473420421973906	0.00375335466261658
"CREBZF"	2.82881775831395	0.000473743126479736	0.00375335466261658
"PCGF2"	2.9999851536664	0.000474408211732171	0.00375335466261658
"RNF2"	3.09948846184217	0.000475004905758504	0.00375335466261658
"THOC2"	2.78021215641284	0.000475436332365376	0.00375335466261658
"RUVBL1"	2.80975601303088	0.000476669229155474	0.00375335466261658
"NDRG2"	-2.79222984424208	0.000476792603968088	0.00375335466261658
"ITSN1"	2.59403577593801	0.00047681707725093	0.00375335466261658
"SYNPO2"	-3.13212192499649	0.000476904498515956	0.00375335466261658
"UNG"	2.57819161539651	0.000476940126099806	0.00375335466261658
"ZBED6"	2.99596317962232	0.000476994862009552	0.00375335466261658
"ANKRD10"	2.67058616472247	0.000477309883527087	0.00375335466261658
"RSBN1L"	3.14690220283656	0.000477403480393202	0.00375335466261658
"RPL5"	2.65320532445232	0.000478540735853985	0.00375687687945316
"PEX13"	2.75515814495449	0.000478560463036588	0.00375687687945316
"ZNF136"	2.98189793331319	0.000479738656985571	0.00376333848018733
"KLF9"	-3.75241581242643	0.000481505676180787	0.00377440618059466
"SMC2"	3.17088147933379	0.000482231958869315	0.00377730546939912
"IMPDH2"	2.7423300113645	0.000482866479094278	0.00377948223444694
"TET3"	3.33817888547178	0.000483678127357013	0.00378304117618423
"ACTG1"	3.01296904511596	0.000484711167195158	0.00378832518431732
"PLCD3"	-2.61810125387976	0.000486257399285672	0.00379360407180843
"ATXN7L1"	3.43406980452177	0.000486331039322892	0.00379360407180843
"SDCCAG8"	2.68195765093641	0.000486460457972037	0.00379360407180843
"SMAD5"	2.59671656610856	0.000487087260042813	0.00379523770768413
"ZNF781"	2.65597691196827	0.000487657970196239	0.00379523770768413
"ARHGAP19"	2.58436970317861	0.00048774426852857	0.00379523770768413
"USP37"	2.88003955319745	0.000488605717300646	0.00379915142476321
"ICE2"	2.72561338290073	0.000490448664051277	0.00380869894690888
"GSTCD"	2.72171392408849	0.000490879669462676	0.00380869894690888
"GRASP"	-2.93512462021667	0.000490911753300389	0.00380869894690888
"BEND4"	3.7111324897018	0.000491930269111388	0.00381380906513715
"OSBPL11"	2.69994296390556	0.000493146875673871	0.00382044633654363
"NUP88"	2.97147272046356	0.000494300708003997	0.00382658794990969
"SNRPF"	2.65616452240625	0.000496654165774942	0.00384200061962251
"CELSR3"	3.54095414362852	0.000498294615492382	0.00385131887648946
"RHNO1"	2.7143713987322	0.000498585534869178	0.00385131887648946
"FOXN3"	2.739864543946	0.000499660269313528	0.00385680956604863
"SLC35E2A"	3.27467628486294	0.00050174393470318	0.00386737092951438
"CCDC146"	2.82019914982579	0.000501827006016896	0.00386737092951438
"EIF4G2"	2.87584367398436	0.000502123268447989	0.00386737092951438
"GTF2IP1"	2.75684573601209	0.000502503655102745	0.00386749000492294
"ZNF607"	3.1358744515258	0.000503230735107808	0.00386841408050684
"THOC1"	2.62828002348694	0.000503353747595672	0.00386841408050684
"DENND4C"	2.61625848696297	0.000506707674551151	0.00388907961011202
"MMP16"	3.32587627800589	0.000506776650459021	0.00388907961011202
"RSBN1"	3.01872673535889	0.000508793251814557	0.00390173001644767
"ZC4H2"	2.82317099171835	0.000511492233208011	0.00391959124189335
"ZMIZ1"	2.95102022399568	0.000512899426814347	0.00392685499044604
"FLVCR1"	3.32939662327012	0.000513289199133272	0.00392685499044604
"SRRT"	2.85288751969424	0.000513551709450671	0.00392685499044604
"ZNF264"	2.86967801472561	0.000514678904512916	0.00393263664746062
"CEP97"	3.4102044429875	0.00051557055726814	0.00393420786256461
"TOX"	3.1133469473806	0.000515626978779226	0.00393420786256461
"REV1"	2.84197947279114	0.000517677983731812	0.00394701530330197
"CCDC66"	2.84593613264122	0.000518216835961377	0.00394828326924419
"MGA"	2.96584406017625	0.000519954197354496	0.00395867426980097
"SRBD1"	2.67420672340156	0.000520606259798233	0.00396079335343982
"MRPL42"	2.74510015252153	0.000521941428698988	0.00396785938132436
"GSTA4"	2.92295208212866	0.000522483011740167	0.00396785938132436
"TP73.AS1"	2.68793228699755	0.000522658208749652	0.00396785938132436
"RPL34"	2.7232248283682	0.000523717578060022	0.00397305575682184
"ZNF493"	3.05985420020028	0.000524103670877054	0.00397314070383049
"MRC2"	2.61049798132965	0.00052577551198281	0.00398296560113926
"PAPOLG"	3.18633240490011	0.000526310464926512	0.0039841702194937
"ACVR1"	2.64023103690251	0.000527081982181738	0.00398629285297373
"CHST10"	2.61734504892058	0.000527343138315642	0.00398629285297373
"SARM1"	2.89424865719212	0.000528106120209091	0.00398905722670254
"FCHO2"	2.76828186056275	0.000528461629202714	0.00398905722670254
"INTS12"	2.61955150029713	0.00053014792872632	0.00399893789938899
"HMGXB4"	2.82153615307646	0.000532429790405516	0.00401329368329848
"SNHG5"	2.65350875109111	0.000533620330498642	0.00401882245129622
"USP42"	3.00672552157947	0.00053392168441452	0.00401882245129622
"RBM4"	2.70128446712606	0.000536180960672119	0.00403102471646578
"ZC3H12C"	2.61145934902334	0.000536675072431545	0.00403102471646578
"RSF1"	2.83913468652944	0.000536683890822157	0.00403102471646578
"NEBL"	-3.12401255225041	0.000537178510622505	0.00403188233397827
"LSS"	2.6624368199924	0.000538625955008954	0.0040387182409324
"MFSD4A"	-3.82460813154466	0.000539164791796226	0.0040387182409324
"CD9"	-2.56653942053235	0.00053940910648235	0.0040387182409324
"CPSF6"	3.06166337548808	0.000539675618099303	0.0040387182409324
"NRAS"	2.79278189197974	0.000539994692149577	0.0040387182409324
"FZD3"	3.33745921273777	0.000540587922487788	0.00404030380996162
"TMEFF1"	3.25515207086888	0.000541628608368888	0.00404254880541166
"CCND2"	3.1550498631636	0.000541942791779805	0.00404254880541166
"PHETA1"	2.66353200000434	0.000542336274050015	0.00404254880541166
"CDK3"	2.58321375237066	0.000542776653469042	0.00404254880541166
"PAGR1"	2.61605748328478	0.00054279552274965	0.00404254880541166
"SREK1"	2.72876733994913	0.000544213945692585	0.0040502664300913
"LINC01102"	3.43644629516164	0.000545099907213562	0.00405387392232831
"LBH"	2.65004541385558	0.000545463692511811	0.00405387392232831
"RPN2"	2.64488354506744	0.000546462188235006	0.00405844868319173
"TOP1"	2.82237886792831	0.000546918636875915	0.00405899419720654
"AMMECR1L"	2.73554441015752	0.000548020512730615	0.00406225267536008
"WSCD1"	2.58775986717743	0.000548124299468288	0.00406225267536008
"MAP4K4"	2.51640260511219	0.000549588239593432	0.0040687638603203
"TSHZ3"	3.52311549384118	0.00054977069711065	0.0040687638603203
"MMP15"	2.65772089471074	0.000551477141940669	0.0040785448362088
"TDRD3"	2.71533101460834	0.000552397906296753	0.0040822710056
"CBFB"	2.50420550522213	0.000552751358089828	0.0040822710056
"NCAN"	2.54802416504274	0.000553582286871122	0.00408556063806417
"HBA1"	2.83044302333185	0.000555853810214578	0.00409562155577875
"VRK1"	3.16714995070965	0.000555870573926858	0.00409562155577875
"DDX31"	2.70040380922544	0.000556104870613854	0.00409562155577875
"U2SURP"	2.86004504157258	0.000556911692274911	0.00409871535745105
"CARD8"	2.52852600574896	0.000558219413841189	0.0041054887910402
"ZNF423"	2.61953965168213	0.000560474226888768	0.00411921349276503
"NCOA6"	3.2684141934243	0.000561187597724123	0.00412159817094959
"RPS11"	2.56727077914482	0.000562837762434188	0.0041308549904969
"MRE11"	2.90938749355918	0.000563369060309972	0.00413189294198276
"NR4A3"	2.63888094775854	0.000564698482366101	0.00413877905678834
"POLB"	2.86256454576881	0.000566130133895609	0.00414640439462727
"CCDC85B"	-2.80447531188513	0.000566797425774525	0.00414669317156673
"SF3A2"	2.84676268522187	0.000567098963423502	0.00414669317156673
"HNRNPA3"	2.69869661496475	0.000567995898867747	0.00414669317156673
"RPL26"	2.6427320483341	0.000567998508824235	0.00414669317156673
"SRGAP2"	3.5360203153612	0.000568125918580382	0.00414669317156673
"PCGF3"	3.03066221160727	0.00056896204978026	0.00414867329878764
"DDX19B"	2.9020399966965	0.000569180126102777	0.00414867329878764
"SPATA5L1"	2.81958929285646	0.000570509954445785	0.00415502714238181
"HMGB1"	2.55793098630259	0.000571582835683008	0.00415502714238181
"CLTCL1"	2.75769389737046	0.000571605997235169	0.00415502714238181
"MED13"	2.830401218446	0.000571828193888532	0.00415502714238181
"ST8SIA3"	-3.89734401355785	0.000572012134434332	0.00415502714238181
"RBM7"	2.60938941820519	0.000573286156535715	0.00415978225605521
"CFAP97"	2.68874307262718	0.00057345177166415	0.00415978225605521
"ZNF611"	3.17404128495848	0.000574915433259157	0.00416754703261324
"RBM3"	2.73437046745244	0.000578105627650818	0.00418780823092506
"ZNF708"	3.05528997553107	0.000580115010509507	0.00419949377143426
"NAB1"	2.80520915938203	0.000581770462360674	0.0042086029761764
"UBE2T"	3.25239873606334	0.000582206378358632	0.00420888349102646
"CC2D2A"	2.5033535862857	0.000584659263084338	0.00422373474449067
"MAN2B1"	2.73258831358597	0.000586017759005916	0.00423066499315034
"LOC100128398"	2.737954945791	0.00058808917526561	0.00424272912148736
"ZFPM2"	3.37644742015101	0.000590460014466615	0.00425462014468326
"ZBTB40"	2.76961004702119	0.000590540312590024	0.00425462014468326
"PLXNA2"	3.54352551909707	0.000594100064132603	0.00427735902151992
"CNR1"	3.68804428699319	0.000595557683360773	0.00428494251748641
"GIGYF1"	2.77301466160566	0.000597327110037099	0.00429475760663038
"KIAA1549"	3.48665137622657	0.000598220669020321	0.00429759272620809
"PAG1"	2.64992756505535	0.000598532446110884	0.00429759272620809
"SOCS2"	2.93136795589522	0.000599595795636403	0.00430231296015883
"FAAP100"	2.8078654213287	0.000600276312383732	0.00430251236366962
"NA..330"	2.8401723985765	0.000600435533673087	0.00430251236366962
"XRCC5"	2.7909151230724	0.000600871215807039	0.00430272509805608
"DNAH10"	3.58110656254859	0.000602213800885789	0.00430942732058581
"DHX15"	2.75954077401491	0.000602825365228816	0.00431089286146761
"NUP155"	3.01839073764299	0.000603402566942051	0.00431211085937415
"SPPL2A"	2.67615414739756	0.000604306631488129	0.00431566150977843
"DHX40"	2.61524182445283	0.000605773540648264	0.00432322423150862
"PDCD11"	3.03479584786433	0.000606909401034756	0.00432530390386243
"PTGFRN"	2.81361123059305	0.000606977580245148	0.00432530390386243
"UMPS"	2.60977715178575	0.000607289319583629	0.00432530390386243
"ZNF594"	2.94518947534217	0.000608718248102161	0.00433256950529664
"NCAPD3"	2.98872827684083	0.000609508571961812	0.00433442969631129
"HNRNPUL1"	2.6572205065698	0.000609797572862817	0.00433442969631129
"BMT2"	2.989665879725	0.000611926419602477	0.00434588130628594
"DHTKD1"	2.48045109969085	0.000612228796969703	0.00434588130628594
"TAF2"	2.96099518387466	0.000613224126393623	0.00435003299298502
"IFIT1"	-2.83456020724614	0.000615899888673721	0.00436497724653215
"ZSCAN30"	2.63977882683167	0.000616214499639766	0.00436497724653215
"PGD"	2.83649246112317	0.000616566421783226	0.00436497724653215
"ELOA"	2.68773876482171	0.000618181916038612	0.00437349262094607
"PGBD1"	3.07699904004268	0.000618641375416117	0.00437382341338226
"PANK3"	3.48155415896084	0.00061911300313296	0.00437423973813541
"IGF1R"	2.92143050697951	0.000619975390946616	0.00437741451915538
"BTF3"	2.53997539096278	0.000620423478735945	0.00437766180269211
"SCAF8"	2.8717495053714	0.00062147155163509	0.00438213939070438
"ZNF382"	3.2646105467697	0.000629140009949149	0.00443110932875764
"RBBP8"	2.70967936550814	0.000629252645761488	0.00443110932875764
"RPS5"	2.55740113620136	0.000630462902841291	0.00443668382756441
"PATL1"	2.6540230136926	0.000631204405412991	0.00443895440515387
"SELENOM"	-2.69950021283351	0.000631779364282322	0.00444005152696555
"BNIP2"	2.51142271377029	0.00063442877051021	0.00445503125072626
"BPHL"	2.69887425762694	0.000635091509922494	0.00445503125072626
"EXO5"	2.9520907364724	0.000635171939974277	0.00445503125072626
"RECQL4"	2.72411600196181	0.000636074939746153	0.0044584141609985
"NSMCE4A"	2.58994566920139	0.000636676445533584	0.00445968074670517
"TOP3A"	2.84881357554982	0.000638319525979099	0.00446823668185369
"TBC1D14"	2.73624997492044	0.000640256863491804	0.00447883976190504
"DDX52"	2.76708673465039	0.000642636429358004	0.00447980364788343
"DYNC1I2"	2.80933245904846	0.000643096797285977	0.00447980364788343
"RPL18AP3"	2.60832518350466	0.000643545794370925	0.00447980364788343
"LRRC37BP1"	2.68757054582748	0.00064530366730404	0.00447980364788343
"PIK3C2B"	2.94755912618791	0.000645334300366305	0.00447980364788343
"CBX5"	2.86558145201597	0.00064556020925563	0.00447980364788343
"GPSM1"	2.71096094694747	0.000646382569491268	0.00447980364788343
"ARAP3"	3.04460438741183	0.000646655986231739	0.00447980364788343
"ANKZF1"	2.77086018259795	0.000646736412282891	0.00447980364788343
"LRCH3"	2.77694411448997	0.000646918428800183	0.00447980364788343
"ERCC8"	2.56900050085956	0.000647397935058161	0.00447980364788343
"ZSWIM4"	3.01275257385378	0.000647631678762355	0.00447980364788343
"APEX1"	2.79189617569348	0.000647768276422156	0.00447980364788343
"IRS1"	3.14676948142724	0.000647874339062351	0.00447980364788343
"IFT52"	2.65794483007453	0.000647965391020138	0.00447980364788343
"SETD2"	2.84097317187621	0.000648163459390345	0.00447980364788343
"NAA15"	2.91988400666303	0.000648460230811402	0.00447980364788343
"PRPF4B"	2.77837082219661	0.000648504222012058	0.00447980364788343
"WDR3"	2.87042801485612	0.000648558704553451	0.00447980364788343
"SP1"	2.52329060065735	0.000649454018806423	0.00447980364788343
"PRPF3"	2.60755756016049	0.000649692822154898	0.00447980364788343
"LDLRAD3"	2.53495819771653	0.000649694112737953	0.00447980364788343
"PRPF39"	2.69961431752584	0.000651129198021406	0.00448209111170308
"SCYL2"	3.16395947959777	0.000651220973050207	0.00448209111170308
"ZNF646"	2.88221653224953	0.000651294613325415	0.00448209111170308
"C11orf80"	2.68896563965638	0.000653201097158982	0.0044922941127131
"HSDL1"	2.98097120786802	0.000654388407740419	0.00449486460354045
"NEXMIF"	3.51416687632937	0.000654423106554341	0.00449486460354045
"TENM4"	3.60215944483683	0.000656550917923275	0.00450655869698891
"SERBP1"	2.68659825400943	0.000660870188357608	0.00453327006874688
"LGALS1"	-2.63585354513897	0.000662858389107105	0.00454396714602658
"RO60"	2.64518333033744	0.000665031369702916	0.00455365905880126
"MOB3A"	2.50800774130578	0.000665131555295749	0.00455365905880126
"ZNF419"	2.63556473755435	0.000667222964953939	0.00456502839417808
"IPO4"	2.74012876690247	0.000671416802073344	0.00459075823766019
"PTPN12"	2.50090450889602	0.000675010363625184	0.0046119520488953
"STAG2"	2.55150672334937	0.000675600370248637	0.0046119520488953
"CTCF"	2.88129129539747	0.000676169102324939	0.0046119520488953
"ANKRD36C"	3.31530410256091	0.000676257169653075	0.0046119520488953
"CRLF3"	2.62056355724458	0.000680790529809157	0.00463972007066822
"CHAMP1"	3.03379097014941	0.000681204418754458	0.00463972007066822
"PASK"	3.48040991963764	0.000682277614588509	0.00464268197447843
"ABCB7"	2.59743447294069	0.000682515428971258	0.00464268197447843
"PRPF38B"	2.52269734247867	0.000684172722823582	0.0046485763390267
"PARP11"	2.84566813064089	0.000684259208235673	0.0046485763390267
"VGF"	-3.77278716319181	0.000687003982569559	0.00466423331663817
"OGG1"	2.52406904818794	0.000691209552805233	0.00468145137437945
"ZNF420"	2.92709623783585	0.000691221212039126	0.00468145137437945
"NA..69"	2.62377904005305	0.000691224257587156	0.00468145137437945
"PDIA4"	2.5554965290512	0.000691306982534803	0.00468145137437945
"MAD2L2"	2.56768532932391	0.000692383444992584	0.00468574696681443
"HBP1"	2.50545516100323	0.000693246632900742	0.00468583472880258
"SSRP1"	2.81138899885033	0.000693280699637899	0.00468583472880258
"COMMD3"	2.61852593521863	0.000695664606642208	0.00469895060624227
"TRMT9B"	3.4748978366402	0.000698335590508057	0.00471320755715712
"SLC7A6"	2.8790348853678	0.000698664754887133	0.00471320755715712
"RPL23A"	2.66344814686802	0.000700245222766231	0.00471837115583473
"TRIM59"	3.16160723667344	0.000700320610315912	0.00471837115583473
"RIT1"	2.49386453613723	0.000701120279358927	0.00472075776406983
"PHF19"	2.60297104453385	0.000703162266040771	0.00472703551504126
"FEM1C"	2.66603625975023	0.00070320128697436	0.00472703551504126
"C16orf87"	2.92605382939615	0.000703390734782041	0.00472703551504126
"NSUN5P1"	2.52786360678612	0.000704997454976136	0.00473483081611983
"COL4A2"	2.51758697630177	0.000706158924257808	0.00473962778928705
"XPO1"	2.69802168817922	0.000707729073782492	0.0047471599518651
"PUS7"	3.06058757081028	0.000708221954408484	0.0047473289879456
"IWS1"	2.66821771339918	0.000708650165968101	0.0047473289879456
"ZNF354A"	2.81286255151071	0.000710269087543087	0.00475516853429036
"ZC3H11A"	2.65508813704049	0.000712966058859045	0.00477021104279555
"KCNK2"	3.05745346308024	0.000714669105589617	0.00477516541768498
"ARID1A"	2.93433222020277	0.000715552908374923	0.00477516541768498
"DDX5"	2.65094506345208	0.000715739101813563	0.00477516541768498
"SNRPA"	2.65263462190122	0.000715742185525405	0.00477516541768498
"SUFU"	2.48315762859426	0.000716217701534371	0.00477516541768498
"LOC100505501"	2.60193349426225	0.000716409984347907	0.00477516541768498
"FOXN2"	2.65360462170527	0.000717544550927165	0.00477972165350477
"KDR"	2.49105693170683	0.000719880888143714	0.00479161684557912
"ZNF227"	2.57916266230286	0.000720408315767358	0.00479161684557912
"DUSP4"	4.1211633805217	0.0007206866627527	0.00479161684557912
"NPM1"	2.66410056453183	0.000721170073246714	0.00479182472493334
"RALGPS1"	3.13817000573902	0.000722124103918876	0.0047951574268999
"POLI"	2.68356516319185	0.000723952580266174	0.00480428894531053
"STAG3"	2.85337061136656	0.000725667089131436	0.00481265319813201
"GNG2"	3.4507817675415	0.000727504171676518	0.00482181939426375
"SF3B1"	2.65405228517908	0.00072821429279251	0.00482342983137281
"ZNF131"	2.95736558205494	0.000729390005303166	0.00482342983137281
"DCAF15"	2.71730567589738	0.000729574784409418	0.00482342983137281
"FAM193B"	2.60181233964414	0.000730194624909295	0.00482342983137281
"CSNK1E"	2.7226104467272	0.000731169350736219	0.00482342983137281
"SCG2"	-3.61912581920349	0.000731461132409576	0.00482342983137281
"POGZ"	2.78003309248233	0.000731616625981297	0.00482342983137281
"BCORL1"	3.20583820439544	0.000731782364834185	0.00482342983137281
"DCAF1"	3.05984856640294	0.000731843288247545	0.00482342983137281
"SGF29"	2.66150483658372	0.000733158973262792	0.00482909807249165
"SMARCA4"	3.09165054700298	0.000735329018046352	0.00484038318835729
"MSANTD2"	2.6191104035682	0.000736007413101452	0.00484184144261278
"G3BP1"	2.50270139221076	0.000736937261287718	0.00484495105156777
"SLC25A15"	2.71487986851557	0.00074192749092003	0.00487223436749883
"NOP53"	2.59563677060818	0.000742006630415466	0.00487223436749883
"SNRNP40"	2.68978038885716	0.000744434509128528	0.00488484558577403
"WDR19"	2.75342028621804	0.000745235727269067	0.00488484558577403
"KPNA2"	2.90771692282742	0.000745309993602247	0.00488484558577403
"RAD52"	2.80036653137534	0.000747430170683008	0.00489571381266905
"SRSF11"	2.76929984011501	0.000749167611017623	0.00490406321282567
"ST7"	2.4708260800544	0.000752434414688791	0.00492240736226655
"DNALI1"	2.52769145182659	0.000752941803288509	0.00492268798966787
"CNOT2"	2.7172784604615	0.000753716017007833	0.00492432802680651
"GDAP2"	2.78028441241956	0.000754605703833316	0.00492432802680651
"EDRF1"	2.82260114054003	0.000755046666053212	0.00492432802680651
"RPL32"	2.48588015942544	0.000756003970296181	0.00492432802680651
"LOC730101"	2.91155794487575	0.000756151612442013	0.00492432802680651
"CNOT10"	2.64232184175583	0.00075616469744188	0.00492432802680651
"NUP62"	3.02056481604233	0.000756445180943668	0.00492432802680651
"SPICE1"	2.80408780886322	0.000757479931570381	0.00492438395580721
"CHAF1A"	3.12963266621155	0.000757561102024448	0.00492438395580721
"DIDO1"	2.77203075425831	0.000757847728998071	0.00492438395580721
"DACH1"	3.19595729517422	0.000758630011817772	0.00492577279928574
"ZC2HC1A"	3.08966326965599	0.000758991034273789	0.00492577279928574
"ZFX"	2.63374409767659	0.000759934676124054	0.00492887863987927
"PANX1"	4.01121384345991	0.000761718849742553	0.00493742897221503
"SRC"	2.88562959380512	0.000762416723670311	0.00493893180773714
"HIF1A"	2.51878209137536	0.000763684430490365	0.00494412192690097
"RPS19"	2.54072907247847	0.000764488415523474	0.00494630538932709
"PLSCR3"	2.46408810272623	0.000767309052775357	0.00496152613869019
"SSR2"	2.49539425799379	0.000768756783397288	0.00496785633563687
"ENTR1"	2.5757519287384	0.000769745492740355	0.00497040582930029
"MBOAT2"	2.64184986111747	0.00077008929719863	0.00497040582930029
"AKAP9"	2.96531743947836	0.000770720829086156	0.00497145425846322
"CDK12"	2.89763305042679	0.00077213438151027	0.00497747356456884
"EDC3"	2.61016112939962	0.000772593320788427	0.00497747356456884
"ZNF821"	3.08795362150327	0.000775831837862954	0.00499008140580316
"AKAP13"	2.737944929594	0.000775916659886918	0.00499008140580316
"PURG"	2.58423135686101	0.000775962837965994	0.00499008140580316
"GUSB"	2.49768790393683	0.00077781221480542	0.0049962175564923
"PAPOLA"	2.56475109921612	0.000777859876223088	0.0049962175564923
"NDC1"	2.90888109682463	0.000778473240534797	0.00499712865123427
"LUC7L"	2.50083948640907	0.000779717757412504	0.00500208764712937
"TRIT1"	2.69012495560299	0.000780393301291439	0.00500339274475902
"ATP6V0A2"	2.61824700785798	0.000781631154409652	0.00500829925902872
"LAS1L"	2.56865418414383	0.000783741566538489	0.00501459949085929
"INTS8"	2.62012553028951	0.000783843662380417	0.00501459949085929
"ARHGDIG"	-2.6245935832946	0.000784264400746298	0.00501459949085929
"PKIA"	2.81293860359961	0.000784871478815155	0.00501459949085929
"EPC2"	2.96731444190056	0.000785108919636236	0.00501459949085929
"SECISBP2"	2.81270143884371	0.000786186952723617	0.00501459949085929
"HUNK"	3.70675430923565	0.000786382289047818	0.00501459949085929
"PM20D2"	2.51133150407743	0.000786791829252041	0.00501459949085929
"ALDH18A1"	2.49438750999136	0.000787193670704758	0.00501459949085929
"SETD6"	2.89985755353491	0.000787346060840711	0.00501459949085929
"DKFZP586I1420"	2.77100010213745	0.000789334449764275	0.0050219421932354
"DNMT1"	3.0640239717771	0.00078944665917439	0.0050219421932354
"MTPAP"	2.63809760023573	0.000793107586599768	0.00504220408085444
"NT5C3A"	2.7446091533482	0.000794056172366529	0.00504520822226647
"ZNF304"	2.86723844441045	0.000794970738326922	0.00504799274103578
"NUP35"	2.560249824733	0.000797110527786417	0.0050584043497258
"TFAM"	2.61459375314178	0.00079756498097677	0.0050584043497258
"MYL9"	-3.09416674700618	0.000798581995005864	0.00506182534872736
"SESTD1"	2.81100401045838	0.000802807957040906	0.00508557007096205
"UBE2D1"	2.7049608243535	0.00080363127378349	0.00508774446807493
"PHTF2"	2.99133495797356	0.000804894382478871	0.00509269890478273
"COTL1"	2.50676637404116	0.000805621617012359	0.00509425888848269
"ZNF564"	2.56753614253101	0.000807012403722318	0.00509850077201018
"SDHAP1"	2.68331995668719	0.000807254604211462	0.00509850077201018
"CAMSAP1"	3.14263303610742	0.000810320963995981	0.00511481928316224
"OSGEPL1"	2.56126771709853	0.000812481711528883	0.00512439167387727
"RDX"	2.44309215786232	0.000812804529513841	0.00512439167387727
"TRIM16"	2.77829305597185	0.000813495031653722	0.00512569580586572
"BBS9"	2.5520025885373	0.000815106310364574	0.00512892974743959
"CDKN2AIP"	2.57679636607334	0.000815393693258567	0.00512892974743959
"ZNF605"	2.72370329820139	0.000815460145728977	0.00512892974743959
"TIAL1"	2.70407412432495	0.000815952738688924	0.00512898405968281
"TONSL"	3.04517606950394	0.00081814817083562	0.00513973581180551
"CHFR"	2.63355501726829	0.000820650277799439	0.00515085504871822
"SEPTIN10"	2.44088482895233	0.000820928157539959	0.00515085504871822
"SS18L1"	3.02701678614437	0.000821376206108114	0.00515085504871822
"SOGA3"	3.9233601794041	0.000823501870844796	0.00515564420694914
"LZIC"	2.50814905391565	0.000823809929123023	0.00515564420694914
"UPF3A"	2.56172848573566	0.000823992474680973	0.00515564420694914
"TLCD3A"	2.42770861893875	0.000824085797940352	0.00515564420694914
"OTULIN"	2.65938635237457	0.000824715841801769	0.0051565418828408
"GLUL"	-2.64033493481747	0.000826447961205963	0.00516131747839776
"ALG10B"	2.70497702797123	0.000826453647937441	0.00516131747839776
"ZNF148"	2.85418382293767	0.000827918987986248	0.00516742369533466
"TPR"	2.69529888999317	0.000831453725796137	0.00518561485889887
"STMN1"	3.14328233610288	0.00083181215890999	0.00518561485889887
"SHROOM3"	2.76062049609381	0.000833904330862062	0.00519324919549785
"PEG10"	3.27352147633033	0.000834016807957855	0.00519324919549785
"VIRMA"	2.65653061313657	0.000835880040121957	0.00519468900022364
"BTAF1"	2.78781333929796	0.000836314214740769	0.00519468900022364
"PTP4A1"	2.82906423984563	0.000836561918978224	0.00519468900022364
"CWF19L2"	2.44463927250085	0.000836600045339754	0.00519468900022364
"DDX46"	2.84064036618214	0.000836852817586019	0.00519468900022364
"ZNF484"	2.73810175363251	0.000837188980220982	0.00519468900022364
"ZSCAN29"	2.70335895360146	0.000839315729590266	0.00519974733512476
"TRMT10B"	2.52828268387344	0.000839968342965946	0.00519974733512476
"GNL3L"	2.7357006035184	0.000840034738867559	0.00519974733512476
"ZNF75A"	2.66239523985186	0.000840443273978076	0.00519974733512476
"RBM39"	2.50067865042444	0.000840457367906087	0.00519974733512476
"PHF3"	2.6532147858024	0.000842668867713682	0.00520862991473203
"GXYLT1"	2.59090930840853	0.000842876043004853	0.00520862991473203
"NCBP1"	2.64565541767368	0.000844338447079749	0.00521462637654498
"ABTB2"	2.5736796790197	0.000845144926171615	0.00521656722630563
"ZNF514"	3.08323201285355	0.000849327310634475	0.00523933110483362
"CCNT2"	2.86904831118229	0.000850133332744037	0.00524062874446311
