"SRR1554534"	"SRR1554536"	"SRR1554537"	"SRR1554539"	"SRR1554566"	"SRR1554568"
"AHR"	700	272	1638	1792	5006	2344
"AHSG"	38	8	18	32	98	22
"AIF1"	0	0	0	0	0	0
"CRYBG1"	294	174	324	488	404	444
"AK1"	8594	3402	8332	5984	12244	8541
"AK2"	2652	1820	7850	2972	7488	6838
"AK4"	4702	5458	2064	4770	1488	1612
"AKT1"	14490	5132	35208	10202	41978	33434
"AKT2"	9904	4778	24862	7386	25192	24590
"ALAD"	9080	4690	11580	10016	11416	9734
"ALAS1"	4570	802	8432	6114	9542	8620
"ALAS2"	0	146	766	196	1808	1840
"ALB"	46	20	8	56	224	54
"ALCAM"	6648	3328	6712	18634	2938	4576
"ABCD1"	746	284	2046	442	2352	1730
"ALDH1A1"	5600	10508	18	5822	126	60
"ALDH2"	19962	20744	8438	11566	9844	8146
"ALDH3A1"	222	24	22	28	66	20
"ALDH1B1"	1624	372	4850	1880	2868	3500
"ALDH1A3"	870	402	50	1090	464	268
"ALDH3B1"	394	300	234	204	278	148
"ALDH3B2"	0	0	0	0	0	0
"ALDH9A1"	4778	6376	7278	4832	9364	6984
"ALDH3A2"	4570	2122	13862	6538	10934	7462
"ABCD2"	1200	1100	2234	3096	4228	4162
"ALDOA"	150516	26024	32556	135234	36220	24578
"ALDOB"	80	22	86	182	50	92
"ALDOC"	69460	72228	1742	50688	2010	1798
"AKR1B1"	6264	2252	8418	7362	11794	8834
"ALK"	1062	200	280	1012	384	172
"ALOX12"	188	102	372	186	368	310
"ALOX5"	166	88	100	98	138	70
"ALOX5AP"	50	48	96	50	94	88
"ALOX12B"	316	38	200	188	140	178
"NA."	0	0	0	0	0	0
"ALOX12P2"	242	98	82	178	64	76
"ALOX15"	30	6	10	88	26	4
"ALOX15B"	134	4	6	132	0	4
"ALPI"	0	0	0	0	0	0
"ALPL"	3342	1900	758	3148	1142	1106
"ALPP"	0	0	12	8	0	6
"ALPG"	14	0	0	6	2	0
"ALX3"	308	154	576	330	1326	990
"AMBN"	2	0	8	14	188	8
"AMBP"	0	4	24	6	6	10
"AMD1"	6520	2758	11912	17606	14166	13328
"AMELX"	2	0	0	0	0	0
"AMELY"	0	0	0	0	0	0
"AMFR"	11296	3292	13466	13654	15444	12276
"AMH"	26	26	482	34	1190	446
"AMHR2"	0	0	0	0	0	0
"AMPD1"	0	0	0	0	0	0
"AMPD2"	18320	3664	13630	17392	15964	12136
"AMPD3"	1192	798	192	2460	318	206
"AMPH"	16992	970	8188	24828	13248	7312
"BIN1"	31034	4736	10952	23452	12002	8072
"AMT"	1636	954	2702	1116	4138	2058
"AMY1A"	5	2	3	1	4	2
"AMY1B"	14	21	32	19	51	31
"AMY1C"	7	6	11	4	10	10
"AMY2A"	32	6	24	58	10	18
"AMY2B"	1708	809	3044	2266	3368	3520
"ANG"	20	30	108	38	98	68
"ANGPT1"	134	268	88	310	742	368
"ANGPT2"	290	498	804	294	832	716
"ANK1"	5088	440	1508	5144	3612	5240
"ANK2"	64542	11914	179492	128308	89194	102480
"ANK3"	24244	2806	66444	49658	39822	54140
"ANPEP"	400	298	190	156	650	380
"SLC25A4"	20804	3444	11914	29170	13980	11566
"SLC25A5"	12576	5640	12072	13980	14362	10170
"SLC25A6"	282	122	998	272	802	548
"ANXA1"	858	1320	644	1050	1340	710
"ANXA2"	1376	2040	1272	1114	5424	2460
"ANXA2P1"	88	22	110	34	168	122
"ANXA2P2"	100	192	174	102	378	320
"ANXA2P3"	20	0	0	22	0	0
"ANXA3"	808	1342	118	834	262	232
"ANXA4"	1178	1324	382	1250	834	376
"ANXA5"	4272	6624	5768	5074	9356	6252
"ANXA6"	38804	5992	13340	48948	21256	12228
"ANXA7"	7358	4364	5140	11436	5114	3662
"ANXA11"	12098	2612	866	11220	1790	904
"ANXA13"	2	8	0	14	4	0
"AOAH"	144	96	180	268	146	186
"AOC2"	322	32	496	266	344	414
"AOX1"	74	168	112	104	354	278
"APAF1"	2288	648	17764	4972	13784	12603
"NUDT2"	842	542	1366	1456	1238	678
"APOF"	0	0	0	4	0	0
"APBA1"	23182	2618	28652	28614	25070	28532
"APBA2"	33432	3286	30198	31900	31646	28170
"APBB1"	46622	7888	46030	47534	53452	41098
"APBB2"	5160	3706	10664	9722	12138	13846
