"SRR1554534"	"SRR1554536"	"SRR1554537"	"SRR1554539"	"SRR1554566"	"SRR1554568"
"GFER"	3126	950	5062	2180	7142	4298
"GFI1"	10	30	16	10	22	8
"GFPT1"	3746	1320	27052	8904	22506	22506
"GFRA1"	2650	900	2190	2314	1328	746
"GFRA2"	6622	504	4784	5422	3530	2086
"GFRA3"	6	0	72	6	60	62
"GGCX"	1936	728	5088	2432	4536	4106
"GGT1"	548	254	480	426	740	552
"GGT3P"	10	0	12	10	8	18
"GGTA1P"	440	1034	140	566	326	250
"B4GALT1"	412	566	1424	446	1796	1228
"GGT7"	11026	1736	20440	12342	18250	17600
"GGT5"	1934	2018	488	1006	1020	413
"GH1"	0	0	2	0	0	4
"GH2"	0	0	0	0	4	0
"GHR"	192	228	166	384	754	724
"GHRH"	0	0	4	16	8	6
"GHRHR"	0	2	0	0	2	0
"GHSR"	0	0	26	4	0	0
"CBLIF"	4	0	6	0	4	0
"GIP"	0	0	0	8	0	0
"GIPR"	290	24	22	100	308	454
"GJA1"	19408	34500	2270	8554	6802	7478
"GJA3"	0	18	4	4	0	12
"GJA4"	408	906	484	262	682	366
"GJA5"	350	330	188	304	456	300
"GJA8"	0	4	0	0	0	0
"GJB1"	1808	204	2	1632	0	2
"GJB2"	82	360	94	78	250	400
"GJB3"	98	28	22	120	4	10
"GJB5"	158	12	34	120	10	8
"GK"	536	236	1266	1180	1368	1332
"GK2"	0	0	6	0	0	2
"GK3P"	6	2	28	16	22	22
"GLA"	490	274	2472	714	2498	2062
"GPC3"	108	58	110	144	1078	210
"GLB1"	1784	598	2388	1712	3146	2006
"GCLC"	3198	1348	3368	5794	3264	2780
"GCLM"	938	352	1134	2210	1704	1330
"GLDC"	1498	1118	3688	1676	4336	3246
"GLE1"	2108	648	8838	2744	11518	7558
"GLG1"	20974	7082	40871	26226	43952	41752
"GLI1"	162	210	496	50	608	674
"GLI2"	390	284	3658	56	6968	6034
"GLI3"	1072	1292	16830	324	31932	33480
"GLI4"	1288	716	1746	1072	2278	1654
"GLO1"	6246	5764	8958	13482	13212	8980
"GLP1R"	40	6	4	44	42	22
"GLRA1"	10	0	112	24	4	4
"GLRA2"	570	44	33544	1138	4916	24030
"GLRB"	6250	1164	4102	16592	5926	6508
"GLS"	27572	1558	12266	59884	9992	11792
"GLRX"	1740	380	2774	2676	2542	2544
"GLUD1"	23996	30406	14206	22072	18050	13156
"GLUD2"	1314	952	716	1186	762	626
"GLUL"	236966	281886	29266	86820	33038	24746
"GM2A"	3940	2882	2040	3680	2480	1860
"GMDS"	1196	274	1602	1050	2282	1548
"GMFB"	6860	7152	23736	29662	18050	16294
"GML"	8	0	0	2	0	0
"GMPR"	538	248	114	400	246	128
"GNA11"	6480	1206	11174	5456	8492	7800
"GNA12"	9096	10026	15020	5892	20616	14996
"GNA15"	732	40	54	630	70	62
"GNAI1"	7770	1082	28892	15690	21368	18572
"GNAI2"	19782	9862	34312	13704	44650	29744
"GNAI3"	1700	1968	19302	2970	22120	18832
"GNAL"	4390	760	13406	8060	7182	12116
"GNAO1"	71426	19418	76652	63782	62438	68084
"GNAQ"	6056	1304	23326	13082	12268	18672
"GNAS"	206116	51588	202416	211000	262650	170160
"GNAT1"	6	0	14	8	32	2
"GNAT2"	34	6	16	80	36	50
"GNAZ"	11840	1804	32236	13448	20252	15620
"GNB1"	77530	21724	167934	116460	163314	148096
"GNB2"	13642	4878	25960	10474	28180	18394
"GNB3"	916	346	3214	682	4028	3190
"GNG3"	27844	3332	10078	26194	2654	2852
"GNG4"	5914	1828	23948	6506	42692	35922
"GNG5"	576	1866	3696	644	3048	3210
"GNG7"	27000	13028	8022	20794	13480	13952
"GNG10"	58	76	90	78	34	62
"GNG11"	690	3434	1166	1100	1324	704
"GNGT1"	0	0	0	0	0	0
"GNGT2"	80	20	14	34	46	18
"GNL1"	0	0	0	0	0	0
"GNRH1"	84	142	414	254	722	534
"GNRH2"	2	12	42	20	54	22
"GNRHR"	38	10	892	308	692	840
"GNS"	3906	2024	9750	6448	12964	9480
"GOLGA1"	2358	1178	6566	3280	7412	5692
"GOLGA2"	10334	2252	15779	9978	18210	16412
"GOLGA3"	12902	3512	27434	14960	26998	21188
"GOLGA4"	6568	3178	15772	12932	22966	18602
"GOLGB1"	8884	3204	23804	18828	25410	21640
"GOT1"	33502	2006	4902	37756	6356	4228
"GOT2"	14746	2268	14352	22814	20934	15800
"SFN"	14	8	24	0	30	26
"GP1BA"	108	58	268	102	308	216
"GP1BB"	0	0	0	0	0	0
"GP2"	2	0	0	0	0	0
"GP5"	42	10	2	50	30	8
"GP9"	4	4	20	0	28	22
"GPC1"	20192	7100	43616	15560	55064	35472
"GPD1"	1406	426	894	1698	1030	508
"GPD2"	4568	3876	18118	8086	24312	20312
"GPI"	68768	11194	37982	69335	28571	27910
"GPLD1"	1414	102	2510	1798	1566	2256
"GPM6A"	65068	54696	243068	154660	196048	232762
"GPM6B"	48614	50584	45214	76810	37940	35734
"GPR1"	4	4	66	10	196	62
"CCR10"	464	148	144	292	102	66
"GPR3"	1006	220	138	946	90	82
"GPR4"	634	612	366	186	236	276
"XCR1"	4	0	4	0	0	0
"GPR6"	270	8	0	168	0	8
"NPBWR1"	44	0	0	92	0	0
"NPBWR2"	186	0	0	134	0	0
"CXCR3"	10	4	6	16	0	4
"PRLHR"	56	8	124	136	76	54
"GPR12"	2434	256	28234	4488	23560	29190
"UTS2R"	72	4	0	72	12	8
"GPR15"	6	0	0	0	0	0
"GPR17"	2862	3158	786	1502	674	1080
"GPR18"	4	4	6	10	26	10
"GPR19"	490	274	1390	618	1388	1542
"GPR20"	48	108	4	82	10	4
"GPR21"	226	16	1332	590	708	1140
"GPR22"	1290	106	13838	5518	6884	10732
"LPAR4"	42	34	744	106	992	1524
"MCHR1"	2568	136	38	2848	46	42
"GPR25"	16	0	36	12	4	10
"GPR26"	3280	582	2278	10796	538	670
"GPR27"	1328	80	2102	738	978	1104
"GPER1"	1600	3148	418	930	470	386
"GPR31"	0	0	2	0	0	0
"GPR32"	0	0	0	0	8	0
"GPR34"	30	26	306	154	310	308
"GPR35"	240	114	636	136	440	406
"GPR37"	5720	876	4604	7648	7070	9096
"MLNR"	0	0	8	0	0	4
"GPR39"	16	18	376	10	1096	676
"FFAR1"	18	4	0	14	0	0
"FFAR3"	2	2	0	0	0	0
"FFAR2"	12	4	6	12	10	4
"GRK4"	876	344	1988	960	2668	2052
"GRK5"	2728	878	7744	2864	7448	5592
"GRK6"	4360	1054	5536	3278	7558	5384
"MKNK2"	6052	2194	7956	4156	9986	7852
"GPS1"	10630	3412	17282	9322	19404	13106
"GPS2"	5002	1764	7872	4112	10126	8554
"GPT"	1142	650	1122	816	708	578
"GPX1"	7162	3536	7548	7382	4358	3884
"GPX2"	12	4	36	14	36	36
"GPX3"	4578	1484	6896	5720	2498	3500
"GPX4"	23606	9590	12714	17246	13724	8694
"GPX5"	0	0	0	0	0	0
"GPX7"	222	132	1022	180	2194	1312
"GRB2"	11450	2146	22488	14159	19028	16157
"GRB7"	108	6	16	52	62	16
"GRB10"	7856	972	13632	11350	14444	11956
"GRB14"	426	166	1738	820	1274	1036
"RAPGEF1"	18374	4380	34760	17356	39482	32252
"GRIA1"	16648	2114	55122	26796	45042	25128
"GRIA2"	33686	7430	90378	86092	86476	129776
"GRIA3"	16542	2308	25794	31758	19136	18352
"GRIA4"	7762	1358	3978	21696	2750	3678
"GRID1"	7144	1722	7414	6782	3558	3368
"GRID2"	388	58	948	526	966	1358
"GRN"	4388	1448	3778	3832	6790	3150
"GRIK1"	1562	540	362	2628	314	212
"GRIK2"	4756	1004	8818	8178	30746	26328
"GRIK3"	9854	730	48836	10576	117478	86224
"GRIK4"	1180	284	604	1762	182	148
"GRIK5"	10368	2196	29318	10024	32020	24848
"GRIN1"	137564	9978	31198	118910	17614	18022
"GRIN2A"	19806	1246	3650	58514	1152	2424
"GRIN2B"	590	38	4790	1646	676	1200
"GRIN2C"	6906	7166	208	1558	514	480
"GRIN2D"	1898	418	2424	1376	1174	956
"GRINA"	30286	8428	22844	24606	20562	17270
"NR3C1"	6126	2726	2136	14912	2464	1328
"ARHGAP35"	33434	8466	73232	39470	65696	71962
"GRM1"	3058	198	4432	5794	3082	1694
"GRM2"	3306	870	11052	4846	9498	10526
"GRM3"	12088	6760	36784	12624	16254	15242
"GRM4"	1170	116	614	1140	588	1300
"GRM5"	8336	1110	20052	17690	11222	16372
"GRM6"	118	16	926	154	1184	976
"GRM7"	1924	308	3746	3112	288	428
"GRM8"	908	218	452	1418	578	266
"CXCL1"	20	156	60	22	68	102
"CXCL2"	54	234	62	72	128	112
"CXCL3"	8	0	0	4	18	12
"GRP"	94	310	2142	64	28	36
"PDIA3"	5982	4056	17282	11524	26622	14494
"GRPR"	22	4	86	116	12	32
"GRSF1"	9542	3324	16946	18000	20580	14524
"GSC2"	0	0	0	0	4	2
"GSK3A"	21106	2856	21354	20120	15544	16694
"GSK3B"	8934	1928	44592	20890	32178	39188
"GSN"	16116	10948	2968	12586	5582	3002
"GSPT1"	6018	3692	31720	13716	30714	26190
"GSR"	3462	656	7656	4084	8494	6188
"GSS"	3002	1138	6468	3516	8254	5712
"GSTA1"	0	0	8	172	4	0
"GSTA2"	0	0	0	2	0	0
"GSTA3"	0	0	0	0	18	0
"GSTA4"	3692	1386	22182	6596	28900	22990
"GSTM1"	1118	4620	2866	894	2656	3516
"GSTM2"	2602	2428	2844	1432	9920	7620
"GSTM3"	6350	10954	9397	7550	6210	6640
"GSTM4"	2636	1546	796	2408	1000	914
"GSTM5"	1694	2396	1318	1254	1220	1414
"GSTP1"	5434	5550	12124	3774	14660	6870
"GSTT1"	2100	1484	20	3704	2436	0
"GSTT2"	61	86	216	448	80	27
"GSTZ1"	842	390	736	724	1006	510
"MSH6"	2616	880	22432	4022	35872	24146
"GTF2A1"	838	202	5790	2016	3788	4450
"GTF2A2"	1806	1200	4752	2448	3752	3616
"GTF2B"	1300	522	3540	2136	4256	3672
"GTF2E1"	916	424	2992	1276	3106	2714
"GTF2E2"	962	392	3618	1364	5196	3660
"GTF2F1"	13478	2042	22280	11452	24132	17546
"GTF2F2"	788	1046	3452	1626	6790	4560
"GTF2H1"	2522	830	7630	5916	9568	6426
"GTF2H2"	70	62	566	116	258	576
"GTF2H3"	824	398	4000	1862	3946	3834
"GTF2H4"	0	0	0	0	0	0
"GTF2I"	4948	1340	23353	7265	31418	23027
"GTF2IP1"	632	252	3302	714	4004	2672
"GTF3A"	4128	2008	10104	7900	10144	7552
"BRF1"	8150	1820	15286	7000	17208	11490
"GUCY1B2"	4	0	202	12	298	258
"GTF3C1"	11964	2836	25370	13364	31100	23360
"GTF3C2"	2776	814	8672	3618	8860	8094
"GUCY1A2"	540	60	4290	1100	2812	2636
"GUCA1A"	242	58	616	280	550	368
"GUCA1B"	526	162	748	170	1190	832
"GUCA2A"	0	0	0	2	2	0
"GUCA2B"	0	0	0	0	0	0
"GUCY1A1"	4070	1482	15006	11234	13952	9680
"GUCY1B1"	13012	2218	9390	27416	6022	4078
"GUCY2C"	14	54	22	60	42	30
"GUCY2F"	4	4	10	0	10	6
"GUK1"	29378	18558	13548	27434	9626	6896
"GUSB"	1798	874	6830	1468	9260	6584
"GYG1"	1742	1548	716	3468	838	528
"GYPA"	8	0	36	38	140	110
"GYPB"	0	4	8	0	16	54
"GYPC"	270	338	724	226	1314	1114
"GYPE"	54	14	18	132	18	24
"GYS1"	3878	1538	5378	3022	7356	6478
"GYS2"	34	16	102	54	118	64
"GZMH"	32	94	0	36	0	2
"GUCY2D"	52	10	6	38	8	6
"GZMA"	22	124	0	20	4	0
"GZMB"	20	118	0	20	0	0
"GZMK"	4	38	4	6	0	0
"GZMM"	30	64	82	36	112	54
"H1.0"	13944	4722	95222	12454	116874	87590
"H1.2"	118	438	190	194	708	288
"H1.3"	4	0	32	0	72	24
"H1.4"	8	0	106	4	122	76
"H1.5"	0	0	28	0	72	36
"H1.6"	4	0	0	0	2	0
"H2AC8"	26	8	128	4	270	92
"H2AC7"	0	0	0	0	0	4
"H2AX"	3642	1592	8904	2446	18110	9712
"H2AZ1"	6632	2582	24870	9844	36186	21758
"H2BC5"	166	72	1990	348	1785	3270
"H2BC3"	0	0	4	0	0	8
"H3.3A"	2852	2833	40732	2542	42244	36470
"H3.3B"	18112	15844	70192	17560	94904	61804
"H1.1"	0	0	4	2	4	2
"HABP2"	154	16	8	198	0	4
"HSD17B10"	1846	1494	4734	1646	6664	3880
"HAGH"	10642	2316	5056	9288	5218	3576
"HADHA"	8058	7972	21024	8346	27576	16594
"HADHB"	4788	8598	4662	5898	7666	4916
"HADH"	1894	1608	5776	2386	8372	5192
"HAL"	0	4	2	8	4	4
"HARS1"	14382	2532	14982	13838	19752	12492
"HAS1"	690	38	38	618	46	48
"HAS2"	34	58	630	50	122	118
"HAS3"	132	44	6744	212	7704	11534
"HBA1"	318	510	2210	744	2896	6822
"HBA2"	230	706	3620	1054	5520	5452
"HBM"	2	0	104	26	62	76
"HBB"	1226	13198	4172	19768	4712	4238
"HBBP1"	0	0	6	0	16	12
"HBD"	0	4	2	56	0	6
"HBE1"	4	0	36	0	634	376
"HBG1"	0	0	756	4	2274	1392
"HBG2"	6	10	16124	46	50226	31202
"HBQ1"	198	56	214	254	92	94
"HBZ"	2	4	62	18	178	150
"HCCS"	1904	368	2144	3154	1854	1484
"SERPIND1"	52	48	78	46	408	244
"HCFC1"	12358	2610	37504	11564	33978	32276
"HCK"	164	30	172	78	254	170
"HCLS1"	412	162	178	288	260	120
"HCRT"	6	0	18	0	10	8
"HCRTR1"	144	28	414	286	186	214
"HCRTR2"	118	4	870	132	2020	3108
"HTT"	22926	3644	33456	31176	25534	21230
"HDAC1"	2758	1898	5556	1408	11182	8248
"HDAC2"	3814	1554	58488	7366	83702	69010
"HDC"	64	8	14	60	160	16
"HDGF"	10904	5920	30352	9440	53814	33938
"HDLBP"	31612	8894	50182	35954	72390	52974
"HELLS"	22	14	1858	48	4688	2470
"NCKAP1L"	126	100	372	174	536	350
"HEXA"	2876	1034	5306	4298	7080	5860
"HEXB"	2264	946	1162	3820	2214	1716
"CFH"	624	2094	820	1216	4608	2514
"HFE"	162	98	80	98	240	126
"CFHR1"	2	2	12	0	8	4
"CFHR2"	0	0	0	0	0	0
"HGD"	6	16	8	22	38	22
"HGF"	426	226	374	294	706	1236
"HGFAC"	200	196	3952	162	2442	2080
"NRG1"	1272	14	9970	1422	13716	9742
"HHEX"	190	240	178	194	302	312
"HIC1"	450	756	682	266	880	1150
"HIF1A"	5272	3570	29022	8562	33380	31326
"HIP1"	4594	2258	20662	5212	21732	17127
"UBE2K"	10044	2794	30784	25496	25726	27366
"HINT1"	9750	4292	17932	16586	13102	10618
"HIVEP1"	3724	700	12868	6020	6496	8124
"HIVEP2"	18912	1990	95918	40638	24074	48200
"HK1"	41640	5294	38314	40842	38412	30584
"HK2"	186	108	2314	186	6210	3274
"HK3"	88	18	212	96	120	54
"ZBTB48"	1490	686	3654	1378	6294	3544
"HLA.A"	4	10	28	2975	192	82
"HLA.B"	14	188	8	18	42	274
"HLA.C"	70	14	224	974	18	0
"HLA.DMA"	0	2	0	0	4	0
"HLA.DMB"	0	0	0	0	0	0
"MNX1"	0	0	28	4	54	20
"HLA.DOA"	0	0	0	0	0	0
"HLA.DOB"	0	0	0	0	0	0
"HLA.DPA1"	0	0	0	0	0	0
"HLA.DPB1"	0	0	0	0	0	0
"HLA.DPB2"	0	0	0	0	0	0
"HLA.DQA1"	70	10	0	24	0	0
"HLA.DQA2"	0	0	0	0	0	0
"HLA.DQB1"	370	118	0	20	0	0
"HLA.DQB2"	0	0	0	0	0	0
"HLA.DRA"	16	28	4	20	0	0
"HLA.DRB1"	1036	10	0	26	0	80
"HLA.DRB5"	596	8	0	0	0	26
"HLA.DRB6"	0	0	0	0	0	0
"HLF"	17930	2290	2024	39050	872	954
"HLA.E"	12	14	4	12	6	4
"HLA.F"	6	0	0	74	0	0
"HLA.G"	0	0	0	0	0	0
"HLA.H"	0	0	2	54	0	0
"HLA.J"	0	0	0	0	0	2
"HLA.L"	0	0	0	0	0	0
"MR1"	524	456	56	712	54	48
"HLCS"	1648	480	4610	3042	4346	4724
"HLX"	92	70	114	104	410	80
"HMBS"	1056	444	1610	834	3732	2046
"HMGB1"	12572	9503	61182	17100	92064	74076
"HMGB2"	1580	1318	16544	1924	59180	29994
"HMGB3"	2374	1148	18252	2642	33604	22884
"HMGN1"	1644	1900	24737	2944	47112	27511
"HMGN2"	3255	2284	32862	3386	44866	26131
"HMGCL"	1180	1028	880	1154	1650	834
"HMGCR"	8350	1754	46974	19678	48518	41342
"HMGCS1"	12974	4812	67558	32148	77596	73504
"HMGCS2"	0	0	0	0	254	0
"HMGA1"	7906	730	14628	6240	32016	24136
"HMMR"	26	8	800	64	2530	1262
"HMOX1"	178	198	226	168	444	270
"HMOX2"	11530	1388	4918	11122	5096	3430
"NR4A1"	6044	5248	2368	6800	4616	2316
"HMX1"	128	50	32	38	82	30
"HMX2"	0	0	0	0	4	2
"FOXA1"	0	0	12	4	6	2
"FOXA2"	0	0	0	0	0	0
"FOXA3"	0	0	4	0	0	0
"HNF4A"	74	0	0	82	18	2
"HNF4G"	26	66	36	14	64	40
"ONECUT1"	12	4	4	18	4	12
"HNMT"	922	728	2208	2190	678	1050
"SLC29A2"	1742	526	2876	1628	4724	3650
"HNRNPA1"	18548	10567	220270	20068	328055	224606
"HNRNPA2B1"	42504	22868	201348	48566	330824	241314
"HNRNPAB"	4524	1476	28884	4360	38330	28970
"HNRNPC"	18210	10222	78844	25434	71594	55410
"HNRNPD"	10732	4222	56242	12388	84830	66580
"HNRNPF"	3744	2340	26044	3566	28058	24050
"HNRNPH1"	12400	7034	120030	16274	126246	129722
"HNRNPH2"	10308	3892	17998	17046	21010	16288
"HNRNPH3"	10170	7072	64156	11582	70570	70696
"HNRNPK"	34254	13646	124906	45560	131738	116630
"HNRNPL"	15548	4136	42668	13702	46512	38004
"HNRNPU"	22664	12032	151790	35844	184258	152852
"TLX1"	0	4	0	0	0	0
"TLX2"	50	34	24	56	28	8
"HOXA1"	0	0	0	0	0	0
"HOXA2"	0	0	0	0	0	0
"HOXA3"	0	0	0	0	0	0
"HOXA4"	0	0	0	0	0	0
"HOXA5"	0	0	0	0	0	0
"HOXA6"	0	0	0	0	0	0
"HOXA7"	0	0	0	0	0	0
"HOXA9"	2	0	0	0	0	0
"HOXA10"	0	0	0	4	4	0
"HOXA11"	0	0	0	2	0	0
"HPCA"	31466	5538	12046	28894	5092	3714
"HOXA13"	0	4	0	0	0	0
"HOXB1"	0	0	0	0	0	0
"HOXB2"	8	12	2	4	0	4
"HOXB3"	0	8	0	8	4	0
"HOXB4"	0	6	0	0	8	0
"HOXB5"	0	0	0	4	0	0
"HOXB6"	0	0	0	2	0	0
"HOXB7"	0	4	0	0	0	0
"HOXB8"	0	0	0	0	0	0
"HOXB9"	0	0	0	0	0	0
"HOXC4"	4	0	0	0	0	4
"HOXC5"	0	0	0	0	0	0
"HOXC6"	0	0	0	0	0	0
"HOXC8"	0	0	0	0	0	0
"HOXC9"	0	0	0	0	0	0
"HOXC10"	0	0	0	0	12	14
"HOXC11"	0	0	0	0	0	0
"HOXC12"	0	0	0	0	0	0
"HOXC13"	0	0	0	0	0	0
"HOXD1"	162	22	0	164	12	0
"HOXD3"	20	0	0	14	0	0
"HOXD4"	0	0	0	0	0	0
"HOXD8"	0	0	0	4	0	0
"HOXD9"	4	0	0	0	0	0
"HOXD10"	0	0	0	0	0	0
"HOXD11"	0	0	0	0	0	0
"HOXD12"	2	0	0	0	0	0
"HOXD13"	0	0	0	0	0	0
"HP"	66	24	4	8	0	0
"HPCAL1"	19172	4606	5382	18426	4972	4684
"HPD"	4	10	6	0	6	0
"HPGD"	42	70	222	198	258	274
"HPN"	458	116	12	338	12	16
"HPR"	466	1084	2	434	4	2
"HPRT1"	5358	1146	3024	12982	2308	1830
"HPS1"	6362	1952	5788	5518	8330	6500
"NA..1"	0	0	0	0	0	0
"HPX"	34	22	770	80	824	974
"HRAS"	7066	2878	6166	5176	8374	4358
"ERAS"	46	24	40	26	58	46
"AGFG1"	4450	2626	17774	13622	13174	13428
"AGFG2"	3806	1206	840	2544	1338	872
"HRH1"	1658	518	306	2246	196	126
"HRC"	174	370	64	94	160	88
"HRG"	20	0	0	14	4	0
"HRH2"	1438	60	1284	1864	382	532
"PRMT2"	10406	4322	34050	9498	31812	24768
"PRMT1"	7824	2314	26262	6810	25792	21980
"HES1"	1028	1318	5162	694	13438	10282
"HSBP1"	6460	4822	31082	13000	24466	22336
"HSD3B1"	2	0	0	6	0	0
"HSD3B2"	4	0	4	12	4	4
"HSD11B1"	688	110	0	1170	0	0
"HSD11B2"	116	14	20	92	54	12
"HSD17B1"	164	66	326	158	194	226
"HSD17B3"	140	34	0	98	8	12
"HSD17B2"	4	0	0	0	104	10
"HSD17B4"	9472	5566	15842	11310	16778	15446
"HSF1"	8118	1932	9674	5464	11516	8818
"HSF2"	1144	584	9752	3004	10600	9698
"HSF4"	3602	1710	2692	3304	1624	1688
"DNAJB2"	39086	10454	35110	28368	29708	26020
"DNAJA1"	21240	4160	53694	30288	58250	46406
"HSPA1A"	1	0	2	0	8	3
"HSPA1B"	0	0	0	0	2	0
"HSPA1L"	0	0	0	0	0	0
"HSPA2"	13724	3210	772	8968	998	518
"HSPA4"	8554	1818	25202	18048	30054	22648
"HSPA5"	14466	8126	30852	23880	40572	24552
"HSPA6"	124	24	16	14	534	50
"HSPA7"	44	26	16	64	32	4
"HSPA8"	98192	23834	257532	183796	196662	130570
"HSPA9"	22260	10654	28476	31668	44502	30866
"HSPB1"	8032	6350	5812	3358	10478	6102
"HSPB2"	714	508	38	482	82	58
"HSP90AA1"	111218	38160	205064	214022	354790	249502
"IGSF3"	2598	334	74358	4476	80438	98262
"HSP90AB1"	74426	9872	149258	116378	157940	107748
"HSPD1"	10050	6752	34286	15990	53528	34250
"HSPE1"	5154	3198	7874	5498	8742	8728
"DNAJB1"	8606	4182	10754	7612	24954	9298
"DNAJC4"	2506	1464	2534	2066	2190	1804
"HSPG2"	2196	556	2406	1182	5116	3302
"NDST1"	17140	5076	29270	16382	35746	29668
"FOXN2"	952	984	8086	2782	8712	9236
"HTN1"	0	0	0	0	0	0
"HTN3"	0	0	0	0	0	0
"HTR1A"	752	16	1796	1096	1370	3336
"HTR1B"	302	4	34	324	18	4
"HTR1D"	208	8	168	120	118	64
"HTR1E"	498	56	8	738	32	20
"HTR1F"	144	84	42	294	20	46
"HTR2A"	3464	48	564	9132	1184	978
"HTR2B"	28	8	122	50	110	186
"HTR2C"	804	32	46	1120	3172	66
"HTR3A"	44	10	28	130	26	32
"HTR4"	246	8	6	446	24	38
"HTR5A"	2040	106	74	3206	70	108
"HTR6"	522	12	38	606	124	132
"HTR7"	172	14	118	266	162	190
"HUS1"	650	330	2758	1136	2660	2240
"TNC"	654	66	27478	998	22406	22410
"HYAL1"	514	202	938	402	902	930
"IAPP"	4	0	0	0	2	0
"IARS1"	7132	1558	20748	18232	27966	19200
"IBSP"	26	0	4	16	4	0
"ICA1"	3262	654	2790	5660	2274	1370
"ICAM1"	368	334	124	200	252	190
"ICAM2"	408	854	154	228	176	130
"ICAM3"	1386	408	756	910	540	556
"ICAM4"	8	6	2	8	4	8
"IRF8"	116	72	304	58	346	242
"MRPL58"	796	376	1528	998	1850	1136
"ID1"	2030	3380	1108	1690	802	606
"ID2"	12408	6970	34214	13102	38344	49672
"ID3"	1652	2630	1098	1396	1904	1146
"ID4"	4532	6292	9006	2642	33624	23858
"IDE"	1026	714	3938	2404	4022	3772
"IDH1"	1858	1542	27456	1976	31062	23286
"IDH2"	11312	5768	16476	7440	27436	16140
"IDH3A"	15210	5036	7124	22126	6490	6246
"IDH3B"	9398	2260	11422	9438	14608	9184
"IDH3G"	6846	1794	9424	7112	10054	7194
"IDI1"	7034	4248	15486	14156	19476	16172
"IDS"	148526	52066	88613	300335	44266	53525
"IDUA"	2228	408	4894	1800	5560	4788
"CFI"	114	316	78	234	292	198
"IFI16"	528	810	1982	1070	1998	1332
"IFI27"	1478	4678	156	1648	162	92
"IFI35"	460	846	144	288	202	160
"SP110"	270	268	360	362	864	508
"IFIT2"	988	1002	170	1678	258	128
"IFIT1"	3538	1562	288	5772	614	494
"IFIT3"	1474	1780	312	2500	380	238
"IFNA1"	2	0	0	2	0	0
"IFNA2"	0	8	0	8	0	0
"IFNA4"	0	0	0	0	0	0
"IFNA5"	0	0	0	0	0	0
"IFNA6"	0	0	0	2	0	0
"IFNA7"	0	0	0	0	0	0
"IFNA8"	8	0	0	10	0	0
"IFNA10"	0	0	0	0	0	0
"IFNA13"	10	0	0	10	0	0
"IFNA14"	0	0	4	4	0	8
"IFNA16"	0	0	0	0	0	0
"IFNA17"	0	0	0	0	0	0
"IFNA21"	16	0	28	4	20	8
"IFNAR1"	5382	2626	17146	11420	18506	17398
"IFNAR2"	778	484	1790	1290	2124	1898
"IFNB1"	0	0	0	4	0	0
"IFNG"	0	20	0	0	0	0
"IFNGR1"	2070	2310	5036	3676	4838	4716
"IFNGR2"	3238	1578	6988	4968	5206	4924
"IFNW1"	2	4	4	14	20	4
"IFRD1"	2114	1492	10846	4024	10964	10432
"IGBP1"	3012	968	11998	4348	12788	8002
"IGF1"	416	108	852	1482	580	290
"IGF1R"	7178	2018	46332	10018	35254	38656
"IGF2"	52	22	496	44	296	1192
"IGF2R"	4620	1636	14342	5918	17056	15942
"IGFALS"	108	36	58	62	54	92
"IGFBP1"	10	4	72	20	32	44
"IGFBP2"	2854	402	18694	2270	29700	14702
"IGFBP3"	926	552	1342	1768	2126	1050
"IGFBP4"	1238	574	1408	954	2486	1110
"IGFBP5"	7754	4378	2162	8720	32816	13310
"IGFBP6"	1222	522	334	1248	62	46
"IGFBP7"	4876	7750	2866	3670	7608	1802
"CCN1"	1390	2410	5642	2308	7540	7984
"IGHA1"	6	48	0	12	0	0
"IGHA2"	0	12	0	0	0	0
"IGHD"	4	16	2	0	0	0
"IGHE"	0	0	0	0	0	0
"IGHG1"	38	22	0	8	0	0
"IGHG2"	2	10	0	2	0	0
"IGHG3"	4	2	0	0	0	0
"IGHG4"	0	2	0	0	0	0
"IGHM"	2	86	12	30	10	6
"IGHMBP2"	3040	728	5410	3324	6430	4718
"JCHAIN"	0	18	0	14	4	0
"IGKC"	0	0	0	0	0	0
"RBPJ"	1622	1098	14610	3436	17628	21718
"IGLC1"	0	0	0	0	0	0
"IGLC2"	0	0	0	0	0	0
"IGLC3"	0	0	0	0	0	0
"IGLL1"	12	4	2	4	18	14
"IGSF1"	752	430	54	824	74	84
"IHH"	6	4	26	20	12	10
"IK"	10766	2708	19896	10000	32752	23094
"IKBKB"	2146	1104	5994	2350	8750	6892
"IL1A"	0	0	8	12	16	10
"IL1B"	16	8	12	32	64	8
"IL1R1"	292	648	100	504	436	204
"IL1RAP"	986	778	1536	1992	216	292
"IL1RN"	16	6	4	0	8	2
"IL2"	0	0	0	0	0	0
"IL2RA"	0	4	0	18	0	0
"IL2RB"	26	194	20	52	24	18
"IL2RG"	48	216	2	46	22	12
"IL3"	0	0	0	0	0	0
"IL3RA"	6	10	66	10	48	48
"IL4"	0	0	16	6	4	18
"IL4R"	722	464	566	500	850	542
"IL5"	2	8	0	6	0	4
"IL5RA"	6	2	16	0	18	0
"IL6"	14	44	8	12	0	0
"IL6R"	506	182	262	506	232	172
"IL6ST"	9816	11972	6818	21248	10696	9640
"IL7"	22	36	556	84	252	506
"IL7R"	50	112	8	66	42	10
"CXCL8"	12	246	66	90	108	110
"CXCR1"	14	2	0	2	0	0
