Geneid	HISAT2 on data 7: aligned reads (BAM)
653635	584
100422834	0
645520	0
79501	0
729737	76
100507658	8
100132287	36
100288646	4
729759	0
100131754	88490
81399	0
100287654	3
100133331	192
100288069	16
100287934	38
400728	20
79854	100
643837	1072
100506327	132
284593	2
284600	52
100130417	22
148398	194
26155	9044
339451	1770
84069	12
84808	10
57801	1580
9636	720
375790	26360
401934	2
54991	1218
406984	0
406983	0
554210	0
100506376	0
254173	6
8784	208
7293	68
51150	10826
126792	3676
388581	56
118424	4692
6339	3246
116983	28840
126789	660
54973	9490
80772	3866
83756	54
1855	24214
54587	2566
100506404	0
54998	5778
81669	5488
148413	1892
55052	4028
441869	418
643965	1258
100288271	44
64856	7020
219293	124
83858	1612
55210	2218
339453	1992
29101	11974
643988	4098
142678	12386
8510	10
984	3996
728661	8530
8511	2
728642	2114
100506482	1476
9906	548
65220	4118
2782	77530
163688	56
339456	64
85452	706
2563	18464
5590	23102
100506504	920
199990	1298
100128003	566
6497	13142
79906	1028
100129534	328
11079	6718
5192	2186
9651	8514
55229	3750
388585	238
115110	36
100133445	26
8764	1446
100506589	12
127281	9116
79258	12
100287898	38
140625	0
440556	4134
63976	2978
100422968	2
27237	294
1953	942
693135	0
127262	17980
49856	1082
7161	60
100506635	0
57212	3184
148870	10
388588	20
57470	7908
9731	3660
1677	996
339448	1344
100133612	20
728716	10
284661	0
55966	2532
261734	2486
8514	61202
26038	53596
6146	11238
388591	1540
23463	6896
148645	12
390992	4
387509	3160
11332	17192
100130071	40
54626	4
83715	32
100422975	0
8718	2922
57449	12928
79707	3204
80835	8
3104	1490
9903	7056
148479	2360
90326	772
55735	5792
100505887	0
23261	17234
100505935	128
100505910	0
9341	2870
8863	3614
10911	4
3604	2
11315	19486
54206	3418
50651	4498
473	28372
100505990	2
2023	58584
100505975	38
765	0
155184	0
6518	462
100302218	0
80045	34
407040	14
727721	40
9563	3314
80176	912
100506022	68
84275	994
199953	3182
5293	2762
644997	0
22883	159736
645010	0
56998	6380
84328	1082
64802	758
116362	158
10277	8494
23095	56638
100287506	22
5226	6524
378708	1130
1325	218
1676	1976
5195	5370
54897	372
148345	20
23435	12526
10747	698
6723	4972
5394	5258
2475	12182
10218	52
29914	956
57540	1772
26232	22164
93611	24298
26270	878
10459	1726
374946	108
100506086	194
57085	446
100506273	0
284498	0
100506310	0
100506116	0
4524	3840
1185	15482
4878	180
4879	4
26829	0
90231	3134
