Geneid	HISAT2 on data 2: aligned reads (BAM)
653635	774
100422834	0
645520	0
79501	0
729737	71
100507658	28
100132287	142
100288646	11
729759	0
100131754	82
81399	0
100287654	7
100133331	504
100288069	228
100287934	52
400728	32
79854	582
643837	1802
100506327	350
284593	28
284600	1582
100130417	320
148398	130
26155	19130
339451	7880
84069	22
84808	24
57801	4472
9636	606
375790	72662
401934	0
54991	3648
406984	0
406983	0
554210	0
100506376	30
254173	64
8784	28
7293	26
51150	14640
126792	8636
388581	74
118424	8468
6339	5276
116983	62056
126789	992
54973	22046
80772	4558
83756	846
1855	19492
54587	4194
100506404	0
54998	5702
81669	34102
148413	4198
55052	6242
441869	428
643965	198
100288271	38
64856	2286
219293	62
83858	6078
55210	6728
339453	2074
29101	9506
643988	772
142678	15366
8510	6
984	7994
728661	40548
8511	84
728642	7490
100506482	7210
9906	2890
65220	9900
2782	163314
163688	88
339456	156
85452	94
2563	426
5590	9994
100506504	1766
199990	3250
100128003	2830
6497	24620
79906	1612
100129534	748
11079	12462
5192	2406
9651	1338
55229	7092
388585	2764
115110	14
100133445	14
8764	392
100506589	6
127281	7790
79258	790
100287898	28
140625	0
440556	6410
63976	11118
100422968	0
27237	304
1953	13174
693135	0
127262	3886
49856	4650
7161	492
100506635	0
57212	16315
148870	42
388588	46
57470	19402
9731	10483
1677	2810
339448	3916
100133612	8
728716	4
284661	0
55966	382
261734	6704
8514	4434
26038	4954
6146	88163
388591	760
23463	8532
148645	2
390992	0
387509	15336
11332	12548
100130071	76
54626	34
83715	136
100422975	0
8718	4648
57449	14756
79707	12676
80835	2
3104	6294
9903	3756
148479	8044
90326	1504
55735	11456
100505887	0
23261	19308
100505935	524
100505910	0
9341	5798
8863	2622
10911	12
3604	4
11315	18694
54206	4402
50651	2910
473	37438
100505990	0
2023	48344
100505975	40
765	0
155184	0
6518	292
100302218	0
80045	44
407040	0
727721	4
9563	13781
80176	1368
100506022	14
84275	1030
199953	6208
5293	8034
644997	0
22883	84986
645010	4
56998	14018
84328	7574
64802	1950
116362	20
10277	22900
23095	156676
100287506	18
5226	34058
378708	1678
1325	204
1676	7358
5195	4212
54897	668
148345	8
23435	50596
10747	1582
6723	12124
5394	21282
2475	23096
10218	42
29914	3893
57540	36966
26232	458
93611	14108
26270	1584
10459	9094
374946	12010
100506086	26154
57085	606
100506273	0
284498	4
100506310	0
100506116	0
4524	9647
1185	13750
4878	194
4879	0
26829	2
90231	4568
5351	6696
9927	27242
60672	8818
943	16
7133	1184
55187	14562
677885	34
9249	720
343066	0
126767	0
93190	4
390999	0
65121	0
440560	0
343069	10
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
729368	0
441873	0
440563	0
645359	0
401940	0
343068	0
391002	0
343070	0
400736	0
391003	0
654348	0
391001	0
729516	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	4
10630	5616
7799	31362
23254	22576
200197	228
55092	502
114827	198
79180	5154
11330	64
63036	24
51032	72
842	2162
23341	4556
100507192	8
79814	84
645317	62
84301	512
6248	424
23207	19102
284723	1470
388595	14
54751	4745
440567	1420
729614	2456
23013	48676
7709	17642
149563	180
27129	44
1187	54
1188	52
348487	490
1969	2202
100506484	6
128272	1624
79363	1046
54455	8106
26099	15656
374955	32
55707	6952
114819	10948
26871	2
100506533	221
100133301	10
55672	20224
84809	12478
11209	818
26869	0
729574	0
284729	20
729587	0
6060	0
11223	128
100506687	99
26870	0
9696	21141
4237	4014
23400	28422
6390	4992
11240	266
400743	0
29943	0
51702	0
23569	12
353238	0
55920	31842
55160	21718
81569	0
84966	6122
127707	296
5081	22
80834	0
8659	3276
100302276	0
126917	1702
23352	41522
23065	10838
51154	8106
246181	360
22977	196
100506730	1746
8574	3286
54896	3006
832	23806
644075	430
644083	0
440574	6748
4681	5486
3362	124
255104	232
54546	0
23252	13752
30814	0
5320	0
5322	16
26279	0
64600	0
391013	2
127733	570
127731	588
339505	36
55450	25688
79594	4308
163933	914
978	72
65018	16218
1650	17090
57576	498
400745	92
50809	92280
8672	39436
100302155	10
1889	7218
100506824	12
100506801	52
84224	1129
249	1142
5909	8582
84196	21908
401944	28
3339	5116
23436	0
10136	0
29092	1116
998	33696
54361	522
9923	18230
2046	78
712	274
714	674
713	270
2048	16892
100422914	0
646262	0
729059	12
23028	64432
100422866	2
7798	7244
3352	118
10236	74248
80818	14240
148898	1054
6920	398
55616	8616
1870	5780
3399	1904
259283	0
729856	0
6135	105014
6924	15146
100506963	160
57095	10304
11313	8346
2582	4376
3155	1650
2517	2898
1269	4
55629	874
10772	722
127294	4
58985	0
163702	32
284632	0
57822	16
90529	702
57185	3448
11123	3012
100506985	4586
400746	24
10250	20502
25932	38592
864	12
25949	11596
57035	14816
6007	239
23585	14140
6006	57
55219	25132
26119	856
57134	2048
100507013	4
57190	33130
56181	11490
646471	1988
79000	704
164091	1434
3925	326476
5051	1716
2134	1542
7780	4
84676	4
149420	14676
79927	176
100128346	138
51042	360
10256	1508
378807	8
64793	8496
83442	5376
91544	4644
1043	0
55057	46
257101	0
79727	8
79947	6978
3151	44866
6195	1752
100302190	0
8289	40190
55650	1224
84243	6714
2810	30
54707	3638
63906	3174
8431	6
10726	22494
126695	8
646567	2
388610	718
115572	0
6548	2816
23038	15726
84065	5488
644961	964
84958	134
9064	680
8547	30
388611	8
2827	90
10163	9822
27245	19402
2268	300
2537	1306
199870	3320
23673	16002
5511	8664
677774	4
9473	450
6118	7402
27293	94
55113	2040
2140	3002
653566	1160
5724	406
22826	23160
93974	9908
83667	1672
54797	1754
65979	18360
8420	2210
1104	9120
6080	26
26768	32
54952	4460
85028	3096
692212	212
677838	172
677825	166
692073	212
115273	210
6883	1884
26824	8
10691	5494
51441	19056
4985	16
2035	21970
399474	106
6429	35504
51102	3328
10076	9134
100288450	0
4146	100
100129196	26
7805	1276
9672	46798
9698	25568
692234	12
692235	6
692200	2
28997	52
79570	20662
9410	7326
51538	7346
2170	1430
347735	6070
149086	0
284551	0
64129	644
3061	186
553115	4120
1307	6452
576	73292
100423028	4
90853	18
8073	31142
100507229	172
10657	84874
55116	5740
23633	15400
200081	19200
79140	4132
55721	2356
149069	422
100507457	308
56063	1674
8668	16589
339483	2550
84734	540
3932	10
3065	11182
65108	197264
100128071	308
81629	1338
55108	24428
728116	1210
653121	10084
339487	1606
5928	48126
81493	130
57648	15088
8565	16856
64766	11902
252995	3892
3208	5092
113452	182
127544	7080
100505584	4
204	7488
113451	1560
55223	2640
149076	16386
1912	39942
7579	1796
114784	9434
127540	6
84970	226
693137	0
2709	10
127534	0
2707	4
2701	682
113444	3406
58512	1540
100506144	272
9204	6590
79830	5234
100506168	84956
6421	133710
9202	31352
79932	16216
23154	20886
339488	698
5690	7860
127703	13672
63967	7660
192670	16460
26523	21220
192669	3400
27285	4518
54936	7692
1296	508
27095	5104
55700	46868
9967	43268
79729	1968
55194	906
83931	14000
100506594	20
84967	1742
127700	1484
64960	3076
1441	280
2899	117478
100422898	0
728431	28
80149	110
64769	16760
79753	3244
7802	8442
29889	11726
284654	0
54955	4330
55143	4748
284656	2194
149175	6060
79693	2290
127687	3376
4520	5050
3633	3822
10946	19074
2275	1294
51118	5408
5453	658
64121	3348
26292	1158
100506806	24
81025	124
54933	190
79647	13330
4725	13748
23499	104104
100292290	14
643314	2654
353500	2089
728448	2959
8761	22500
100506950	40
677834	50
26508	952
84618	16
51440	6958
10450	6885
656	401
64064	10
100287437	0
54802	6842
4610	6382
84879	2054
10487	26630
5538	12142
6018	14210
127391	2
10269	6904
1298	10634
100286988	480
64744	8712
65243	5272
339559	2354
64789	3228
127396	1248
9783	15052
100130557	1626
4802	8376
407034	0
407031	0
9132	178
163732	76
1503	11622
100507178	258
200172	70
22955	6346
100132074	5102
1907	46
59269	3244
100507198	334
2981	0
2980	2
22887	19332
284716	5462
84217	64
79717	2578
100507214	144
728621	882
10465	3688
100507252	152
4904	172650
149461	1020
64175	5334
79078	2158
100129924	132
100507268	10
374969	5808
114625	2216
51058	2108
6513	10908
440584	52
440585	60
10969	10036
149465	158
100506711	260
128218	30
149466	2
7075	3982
4352	46
991	8532
64834	1412
112950	4620
149469	304
23334	12052
81888	614
5792	42458
9682	26388
100132774	232
6487	6292
9048	342
9670	12308
1802	4426
533	5780
8704	14102
149473	1516
6536	1608
128209	6
100129492	60
55929	11460
79033	8062
55182	16094
79639	458
339541	1062
26830	2
11004	9914
6202	98868
26811	150
94161	132
94162	286
94163	374
266675	314
1263	5160
343521	40
149478	302
8643	6158
8891	5458
100507337	20
79654	16502
7389	6044
57643	13300
400752	90
84842	390
4595	6078
114034	2216
10420	200
126661	166
25974	1124
5052	23180
10327	14032
4678	91872
149483	156
60313	10994
728963	144
51249	3226
3652	3888
23139	46794
8503	32656
100133124	4
10103	226
100507408	0
55624	16144
541468	112
8438	4786
10489	13836
7388	13918
387338	3330
2166	4368
729041	34
127343	4
100507423	166
148930	4
8569	2976
148932	1052
64756	10806
374973	12
9813	9762
100129898	0
1580	0
163720	6
1579	69
260293	1518
199974	32
284541	0
10158	12
6886	566
6491	4460
51727	20096
2301	12
84793	124
2306	96
388630	420
100507479	4
391037	14
200010	32
54558	1858
84871	288
79656	4996
1996	18766
63950	7120
11124	9052
1031	4466
284546	0
26994	19222
22996	68
2060	17964
114883	11812
4898	38034
100313892	2
5865	4256
51060	5850
112970	1352
91408	14844
