Geneid	HISAT2 on data 4: aligned reads (BAM)
653635	278
100422834	0
645520	0
79501	0
729737	3
100507658	1
100132287	7
100288646	0
729759	0
100131754	5896
81399	0
100287654	0
100133331	23
100288069	0
100287934	16
400728	2
79854	28
643837	180
100506327	16
284593	0
284600	6
100130417	26
148398	46
26155	1186
339451	412
84069	10
84808	28
57801	1124
9636	1280
375790	8852
401934	0
54991	652
406984	0
406983	0
554210	0
100506376	2
254173	4
8784	88
7293	24
51150	2864
126792	744
388581	16
118424	1612
6339	872
116983	7134
126789	254
54973	2488
80772	1076
83756	22
1855	5798
54587	1676
100506404	0
54998	2958
81669	1884
148413	698
55052	2050
441869	754
643965	56
100288271	58
64856	2140
219293	62
83858	398
55210	626
339453	452
29101	3130
643988	1226
142678	2070
8510	2
984	928
728661	1682
8511	0
728642	698
100506482	518
9906	98
65220	1228
2782	21724
163688	42
339456	42
85452	38
2563	2240
5590	1630
100506504	142
199990	758
100128003	190
6497	3402
79906	200
100129534	84
11079	2438
5192	1040
9651	2360
55229	718
388585	538
115110	30
100133445	2
8764	712
100506589	2
127281	1950
79258	10
100287898	14
140625	0
440556	3420
63976	1504
100422968	0
27237	88
1953	250
693135	0
127262	3528
49856	468
7161	20
100506635	0
57212	1288
148870	8
388588	12
57470	1548
9731	1514
1677	276
339448	392
100133612	0
728716	0
284661	0
55966	152
261734	482
8514	5098
26038	6960
6146	8134
388591	452
23463	2218
148645	0
390992	0
387509	778
11332	1490
100130071	8
54626	0
83715	58
100422975	0
8718	1468
57449	1416
79707	926
80835	20
3104	686
9903	2402
148479	708
90326	122
55735	866
100505887	0
23261	2856
100505935	446
100505910	0
9341	3560
8863	2800
10911	0
3604	0
11315	9280
54206	1482
50651	516
473	6014
100505990	0
2023	29342
100505975	12
765	0
155184	0
6518	104
100302218	0
80045	4
407040	0
727721	2
9563	1571
80176	366
100506022	40
84275	1850
199953	966
5293	1025
644997	0
22883	16944
645010	0
56998	2228
84328	798
64802	482
116362	26
10277	1552
23095	20460
100287506	0
5226	1946
378708	400
1325	72
1676	910
5195	972
54897	150
148345	0
23435	4738
10747	348
6723	2202
5394	2100
2475	2770
10218	12
29914	502
57540	726
26232	9544
93611	5152
26270	510
10459	812
374946	10
100506086	42
57085	698
100506273	0
284498	4
100506310	0
100506116	0
4524	954
1185	2462
4878	70
4879	4
26829	0
90231	810
5351	2976
9927	5964
60672	824
943	8
7133	602
55187	3236
677885	0
9249	1804
343066	0
126767	0
93190	4
390999	0
65121	0
440560	0
343069	4
65122	0
400735	0
343071	0
441871	0
440561	0
