Geneid	HISAT2 on data 1: aligned reads (BAM)
653635	1066
100422834	0
645520	0
79501	0
729737	63
100507658	12
100132287	103
100288646	23
729759	0
100131754	9164
81399	0
100287654	10
100133331	545
100288069	102
100287934	62
400728	100
79854	560
643837	3500
100506327	176
284593	32
284600	1314
100130417	156
148398	24
26155	15904
339451	5468
84069	48
84808	30
57801	3494
9636	216
375790	55064
401934	0
54991	3296
406984	0
406983	0
554210	0
100506376	0
254173	0
8784	2
7293	24
51150	12662
126792	7770
388581	38
118424	7480
6339	3112
116983	43354
126789	948
54973	18842
80772	5110
83756	966
1855	18912
54587	3456
100506404	2
54998	4406
81669	26848
148413	3356
55052	4110
441869	206
643965	112
100288271	12
64856	2316
219293	236
83858	3484
55210	4078
339453	3244
29101	9394
643988	576
142678	14290
8510	8
984	6542
728661	43345
8511	2
728642	5420
100506482	8424
9906	4464
65220	7230
2782	167934
163688	40
339456	272
85452	12
2563	394
5590	14910
100506504	2450
199990	2696
100128003	2440
6497	33736
79906	1258
100129534	538
11079	10484
5192	2356
9651	4812
55229	6734
388585	914
115110	10
100133445	4
8764	256
100506589	6
127281	5480
79258	590
100287898	24
140625	0
440556	2832
63976	7868
100422968	0
27237	112
1953	8398
693135	0
127262	4370
49856	3018
7161	58
100506635	0
57212	15154
148870	28
388588	22
57470	14314
9731	10028
1677	2852
339448	4584
100133612	4
728716	0
284661	0
55966	1122
261734	4678
8514	4518
26038	28546
6146	106122
388591	2432
23463	5776
148645	2
390992	0
387509	16256
11332	15934
100130071	84
54626	14
83715	56
100422975	0
8718	5682
57449	18684
79707	13062
80835	6
3104	3654
9903	3570
148479	6468
90326	1588
55735	7606
100505887	0
23261	23310
100505935	430
100505910	0
9341	4906
8863	3100
10911	0
3604	0
11315	21982
54206	4868
50651	2596
473	51494
100505990	0
2023	39050
100505975	38
765	0
155184	0
6518	76
100302218	0
80045	8
407040	0
727721	0
9563	8786
80176	866
100506022	44
84275	1136
199953	4000
5293	6474
644997	8
22883	69412
645010	4
56998	10696
84328	6736
64802	1510
116362	4
10277	19768
23095	173908
100287506	28
5226	39802
378708	1286
1325	362
1676	7164
5195	3588
54897	2462
148345	6
23435	42802
10747	1912
6723	10532
5394	16026
2475	21136
10218	2
29914	4820
57540	51252
26232	176
93611	15176
26270	1654
10459	6804
374946	17980
100506086	34145
57085	356
100506273	0
284498	0
100506310	0
100506116	0
4524	7402
1185	17846
4878	128
4879	8
26829	0
90231	3924
5351	4822
9927	23266
60672	6646
943	0
7133	632
55187	20698
677885	10
9249	578
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	10
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
729368	0
441873	0
440563	0
645359	0
401940	0
343068	0
391002	0
343070	0
400736	0
391003	0
654348	0
391001	0
729516	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	4
10630	4738
7799	32320
23254	11192
200197	116
55092	236
114827	50
79180	2082
11330	12
63036	0
51032	54
842	1122
23341	4847
100507192	8
79814	74
645317	44
84301	832
6248	580
23207	18108
284723	1250
388595	8
54751	6182
440567	1192
729614	1802
23013	65246
7709	10618
149563	234
27129	20
1187	2
1188	22
348487	358
1969	588
100506484	2
128272	432
79363	906
54455	7022
26099	10716
374955	86
55707	4766
114819	10499
26871	11
100506533	155
100133301	6
55672	22392
84809	11220
11209	677
26869	6
729574	0
284729	18
729587	0
6060	1
11223	281
100506687	103
26870	0
9696	18339
4237	2552
23400	27370
6390	5152
11240	382
400743	0
29943	0
51702	0
23569	4
353238	0
55920	19522
55160	12766
81569	24
84966	22176
127707	8
5081	12
80834	0
8659	1772
100302276	0
126917	3996
23352	53676
23065	13256
51154	6287
246181	350
22977	170
100506730	1864
8574	3148
54896	3002
832	22824
644075	474
644083	4
440574	4970
4681	7462
3362	38
255104	78
54546	0
23252	10448
30814	0
5320	0
5322	0
26279	0
64600	0
391013	0
127733	144
127731	220
339505	118
55450	27350
79594	4108
163933	286
978	32
65018	16226
1650	17120
57576	230
400745	156
50809	82646
8672	36444
100302155	4
1889	5248
100506824	0
100506801	40
84224	1467
249	758
5909	16464
84196	20612
401944	16
3339	2406
23436	0
10136	4
29092	1144
998	56810
54361	3802
9923	13856
2046	2814
712	234
714	454
713	296
2048	25146
100422914	0
646262	4
729059	10
23028	42024
100422866	2
7798	5012
3352	168
10236	57160
80818	12742
148898	1680
6920	180
55616	3412
1870	2160
3399	1098
259283	0
729856	0
6135	95288
6924	12822
100506963	156
57095	11410
11313	6150
2582	3534
3155	880
2517	1958
1269	0
55629	212
10772	258
127294	0
58985	0
163702	24
284632	0
57822	8
90529	988
57185	3410
11123	786
100506985	1032
400746	0
10250	23342
25932	28068
864	22
25949	6692
57035	13244
6007	164
23585	18874
6006	20
55219	23504
26119	554
57134	3396
100507013	14
57190	31116
56181	9242
646471	1996
79000	270
164091	1986
3925	322452
5051	762
2134	1128
7780	2
84676	0
149420	16260
79927	174
100128346	236
51042	384
10256	2074
378807	26
64793	5380
83442	8146
91544	2386
1043	4
55057	42
257101	0
79727	6
79947	5710
3151	32862
6195	908
100302190	0
8289	55928
55650	1098
84243	6662
2810	24
54707	3936
63906	3098
8431	2
10726	14104
126695	26
646567	0
388610	3392
115572	20
6548	3140
23038	14272
84065	5556
644961	1008
84958	16
9064	830
8547	38
388611	0
2827	138
10163	9290
27245	31278
2268	226
2537	1350
199870	3090
23673	18378
5511	10276
677774	10
9473	586
6118	6308
27293	30
55113	1614
2140	2790
653566	1416
5724	326
22826	15688
93974	10258
83667	2096
54797	1502
65979	13387
8420	3162
1104	6440
6080	40
26768	36
54952	4338
85028	2428
692212	104
677838	264
677825	170
692073	180
115273	60
6883	2274
26824	42
10691	6076
51441	17256
4985	16
2035	17830
399474	30
6429	24822
51102	2598
10076	11584
100288450	0
4146	28
100129196	24
7805	1100
9672	79936
9698	39338
692234	12
692235	4
692200	10
28997	98
79570	46930
9410	6070
51538	7446
2170	5122
347735	4498
149086	0
284551	0
64129	180
3061	414
553115	4742
1307	4924
576	89396
100423028	0
90853	2
8073	27800
100507229	222
10657	65908
55116	4808
23633	20590
200081	15510
79140	6780
55721	1658
149069	344
100507457	210
56063	1526
8668	17265
339483	2556
84734	636
3932	4
3065	5556
65108	185850
100128071	338
81629	1858
55108	23260
728116	3856
653121	11568
339487	1146
5928	46416
81493	186
57648	16512
8565	11434
64766	7462
252995	3734
3208	12046
113452	532
127544	9404
100505584	2
204	7850
113451	4124
55223	2804
149076	18648
1912	21718
7579	1788
114784	28886
127540	6
84970	120
693137	0
2709	34
127534	4
2707	22
2701	484
113444	3078
58512	2324
100506144	278
9204	4802
79830	3778
100506168	73552
6421	96124
9202	30542
79932	10197
23154	30168
339488	1102
5690	8114
127703	22080
63967	3380
192670	20932
26523	23796
192669	4372
27285	3776
54936	6036
1296	98
27095	5512
55700	41482
9967	38174
79729	2594
55194	1008
83931	12340
100506594	18
84967	1878
127700	1038
64960	2312
1441	286
2899	48836
100422898	0
728431	30
80149	38
64769	17838
79753	4582
7802	3942
29889	6380
284654	2
54955	3154
55143	2162
284656	3462
149175	10550
79693	3116
127687	2016
4520	6632
3633	3802
10946	13140
2275	1852
51118	5270
5453	9024
64121	3648
26292	1034
100506806	12
81025	122
54933	150
79647	10708
4725	13858
23499	114244
100292290	12
643314	2910
353500	1573
728448	2792
8761	14626
100506950	34
677834	28
26508	584
84618	84
51440	10454
10450	6406
656	367
64064	2
100287437	6
54802	4540
4610	3402
84879	2464
10487	22380
5538	11794
6018	14376
127391	8
10269	7210
1298	14920
100286988	836
64744	8090
65243	6436
339559	2146
64789	3236
127396	472
9783	13644
100130557	1252
4802	10256
407034	0
407031	2
9132	542
163732	68
1503	8496
100507178	232
200172	130
22955	8346
100132074	3942
1907	20
59269	12032
100507198	626
2981	0
2980	0
22887	27094
284716	9240
84217	36
79717	2300
100507214	108
728621	682
10465	3268
100507252	144
4904	172136
149461	14
64175	3908
79078	2158
100129924	76
100507268	6
374969	7516
114625	578
51058	1330
6513	8068
440584	38
440585	0
10969	6898
149465	90
100506711	54
128218	110
149466	0
7075	1662
4352	120
991	3194
64834	1758
112950	3414
149469	556
23334	11934
81888	494
5792	49068
9682	23206
100132774	212
6487	6194
9048	348
9670	10718
