Geneid	HISAT2 on data 3: aligned reads (BAM)
653635	1056
100422834	0
645520	0
79501	0
729737	388
100507658	19
100132287	142
100288646	6
729759	0
100131754	6542
81399	0
100287654	5
100133331	664
100288069	101
100287934	90
400728	80
79854	842
643837	1934
100506327	188
284593	8
284600	2026
100130417	172
148398	38
26155	12116
339451	6248
84069	46
84808	14
57801	3394
9636	274
375790	49448
401934	4
54991	2196
406984	0
406983	0
554210	0
100506376	0
254173	0
8784	4
7293	8
51150	9652
126792	5476
388581	38
118424	5774
6339	3776
116983	45054
126789	814
54973	14446
80772	3466
83756	764
1855	14642
54587	3758
100506404	0
54998	2788
81669	27904
148413	2976
55052	3768
441869	158
643965	142
100288271	60
64856	1200
219293	50
83858	3888
55210	3684
339453	2266
29101	6954
643988	526
142678	12266
8510	4
984	6710
728661	34037
8511	32
728642	5736
100506482	8160
9906	2682
65220	7192
2782	148096
163688	16
339456	110
85452	52
2563	168
5590	8844
100506504	1828
199990	1470
100128003	1846
6497	23362
79906	1344
100129534	492
11079	9778
5192	1622
9651	1662
55229	5398
388585	1348
115110	15
100133445	6
8764	176
100506589	14
127281	5542
79258	548
100287898	34
140625	0
440556	3468
63976	8496
100422968	0
27237	218
1953	9152
693135	4
127262	2890
49856	2624
7161	316
100506635	0
57212	14202
148870	44
388588	30
57470	11824
9731	8962
1677	2544
339448	3962
100133612	12
728716	0
284661	0
55966	166
261734	4390
8514	3000
26038	3724
6146	73506
388591	526
23463	5468
148645	0
390992	0
387509	13206
11332	9128
100130071	66
54626	10
83715	80
100422975	0
8718	3390
57449	12102
79707	9497
80835	12
3104	3544
9903	2646
148479	6954
90326	1308
55735	7238
100505887	0
23261	21872
100505935	316
100505910	0
9341	5024
8863	3180
10911	16
3604	8
11315	13814
54206	5024
50651	3378
473	50246
100505990	0
2023	29128
100505975	22
765	0
155184	8
6518	194
100302218	0
80045	10
407040	4
727721	0
9563	9678
80176	928
100506022	30
84275	786
199953	4946
5293	7948
644997	2
22883	56536
645010	6
56998	9484
84328	6046
64802	1440
116362	16
10277	20274
23095	161729
100287506	10
5226	24564
378708	1136
1325	150
1676	6777
5195	3214
54897	338
148345	8
23435	42370
10747	1606
6723	8738
5394	19884
2475	20716
10218	24
29914	3298
57540	26130
26232	246
93611	10752
26270	826
10459	5128
374946	10130
100506086	19498
57085	374
100506273	0
284498	0
100506310	0
100506116	0
4524	7174
1185	16700
4878	158
4879	4
26829	0
90231	3446
5351	4470
9927	20918
60672	6016
943	8
7133	546
55187	15880
677885	28
9249	310
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	14
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
729368	0
441873	0
440563	0
645359	0
401940	0
343068	0
391002	0
343070	0
400736	0
391003	0
654348	0
391001	0
729516	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	4026
7799	32916
23254	16032
200197	168
55092	266
114827	60
79180	2592
11330	22
63036	22
51032	94
842	2120
23341	4828
100507192	12
79814	76
645317	32
84301	564
6248	574
23207	14426
284723	686
388595	16
54751	4474
440567	1276
729614	1922
23013	50324
7709	11798
149563	146
27129	6
1187	8
1188	16
348487	518
1969	1714
100506484	2
128272	788
79363	610
54455	7196
26099	10602
374955	24
55707	4334
114819	10057
26871	5
100506533	582
100133301	11
55672	24588
84809	15292
11209	444
26869	3
729574	1
284729	22
729587	1
6060	2
11223	250
100506687	140
26870	0
9696	16270
4237	3978
23400	21614
6390	4076
11240	188
400743	0
29943	0
51702	4
23569	14
353238	0
55920	23796
55160	16822
81569	4
84966	5980
127707	6
5081	0
80834	0
8659	1918
100302276	0
126917	2546
23352	40660
23065	9562
51154	4764
246181	346
22977	78
100506730	1366
8574	2002
54896	2186
832	16832
644075	276
644083	4
440574	4948
4681	3600
3362	132
255104	82
54546	0
23252	10468
30814	0
5320	0
5322	0
26279	0
64600	0
391013	0
127733	248
127731	202
339505	52
55450	24036
79594	2684
163933	738
978	10
65018	13342
1650	11308
57576	158
400745	62
50809	86773
8672	37478
100302155	2
1889	4854
100506824	8
100506801	48
84224	2127
249	1106
5909	6816
84196	18480
401944	12
3339	3302
23436	0
10136	2
29092	1066
998	34228
54361	552
9923	16522
2046	54
712	114
714	314
713	96
2048	16614
100422914	0
646262	0
729059	20
23028	51942
100422866	0
7798	5666
3352	64
10236	61330
80818	11476
148898	1050
6920	186
55616	4948
1870	3124
3399	1146
259283	0
729856	0
6135	74534
6924	12078
100506963	126
57095	8556
11313	5960
2582	3106
3155	834
2517	1402
1269	8
55629	540
10772	646
127294	0
58985	0
163702	38
284632	0
57822	0
90529	512
57185	4126
11123	2068
100506985	2982
400746	0
10250	24448
25932	31198
864	54
25949	7542
57035	13510
6007	155
23585	12394
6006	35
55219	21740
26119	500
57134	2206
100507013	0
57190	30156
56181	7446
646471	2344
79000	340
164091	1350
3925	247106
5051	966
2134	1030
7780	4
84676	0
149420	13176
79927	66
100128346	100
51042	120
10256	1084
378807	4
64793	6156
83442	6040
91544	2700
1043	0
55057	4
257101	0
79727	2
79947	5210
3151	26131
6195	880
100302190	0
8289	52562
55650	794
84243	5500
2810	26
54707	3242
63906	2106
8431	0
10726	13278
126695	8
646567	0
388610	580
115572	6
6548	2628
23038	13700
84065	4612
644961	1134
84958	20
9064	370
8547	0
388611	0
2827	82
10163	9064
27245	18590
2268	176
2537	634
199870	2860
23673	11660
5511	7126
